m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.0175,0.0059375,-0.0271875,-0.013125,-0.0003125,-0.03,-0.055625,0.055,0.0021875,-0.0459375
-0.0015625,-0.008125,-0.0484375,-0.0225,-0.015625,-0.026875,-0.101875,0.0659375,-0.010625,-0.0828125
0.0209375,0.0053125,-0.0478125,-0.0159375,0.005625,-0.0375,-0.131875,0.0765625,-0.0009375,-0.0746875
0.0165625,0.0059375,-0.0578125,-0.031875,0.00625,-0.05125,-0.14875,0.086875,0.0078125,-0.073125
0.0309375,0.0209375,-0.0665625,-0.0521875,0.026875,-0.0478125,-0.17,0.1134375,0.0046875,-0.081875
0.0034375,0.01375,-0.0790625,-0.0640625,0.03,-0.0621875,-0.1775,0.12875,-0.004375,-0.0875
0.0,0.02,-0.0878125,-0.065625,0.0165625,-0.0546875,-0.19,0.1359375,0.0015625,-0.0903125
-0.004375,0.02625,-0.08,-0.065,0.0178125,-0.0525,-0.2084375,0.1503125,-0.005625,-0.0996875
-0.005625,0.0165625,-0.08875,-0.0696875,0.006875,-0.05,-0.2246875,0.1728125,-0.01125,-0.0978125
-0.008125,0.0259375,-0.093125,-0.0734375,-0.000625,-0.036875,-0.22625,0.1853125,-0.026875,-0.1021875
-0.0084375,0.036875,-0.079375,-0.0771875,-0.0059375,-0.02875,-0.2325,0.18875,-0.02,-0.1115625
-0.00625,0.03625,-0.0715625,-0.085,-0.015625,-0.028125,-0.233125,0.198125,-0.0184375,-0.13625
-0.02,0.0340625,-0.075,-0.0965625,-0.0096875,-0.026875,-0.25375,0.2121875,-0.01875,-0.14
-0.0153125,0.028125,-0.0759375,-0.0921875,-0.0165625,-0.0215625,-0.263125,0.223125,-0.01875,-0.1359375
-0.008125,0.021875,-0.0609375,-0.09125,-0.0128125,-0.0225,-0.27875,0.2109375,-0.0203125,-0.1384375
-0.0103125,0.0246875,-0.0721875,-0.0925,-0.0178125,-0.0225,-0.2784375,0.2090625,-0.0246875,-0.1434375
-0.0059375,0.0190625,-0.07625,-0.0890625,-0.0284375,-0.023125,-0.29125,0.2090625,-0.0278125,-0.136875
-0.0121875,0.0196875,-0.08375,-0.0984375,-0.0303125,-0.0278125,-0.2921875,0.2096875,-0.028125,-0.1390625
-0.0034375,0.02375,-0.07625,-0.0965625,-0.0334375,-0.028125,-0.295625,0.2146875,-0.0371875,-0.1421875
-0.009375,0.0234375,-0.0796875,-0.0915625,-0.0284375,-0.0165625,-0.298125,0.2171875,-0.03625,-0.1553125
-0.0121875,0.015,-0.0821875,-0.0878125,-0.0253125,-0.0196875,-0.3125,0.230625,-0.0378125,-0.1646875
-0.006875,0.0203125,-0.0803125,-0.0975,-0.0228125,-0.02625,-0.3171875,0.2265625,-0.0434375,-0.174375
-0.005,0.019375,-0.0784375,-0.100625,-0.0159375,-0.0225,-0.3209375,0.22625,-0.0503125,-0.1778125
-0.0053125,0.0359375,-0.0809375,-0.100625,-0.0053125,-0.0246875,-0.324375,0.2275,-0.059375,-0.18
0.0003125,0.04,-0.0828125,-0.0946875,0.0021875,-0.044375,-0.3296875,0.2234375,-0.0590625,-0.184375
-0.0009375,0.0509375,-0.08875,-0.1028125,-0.0021875,-0.0471875,-0.3353125,0.2284375,-0.06125,-0.1915625
-0.0053125,0.0409375,-0.1015625,-0.10375,-0.01375,-0.0503125,-0.34125,0.23625,-0.06375,-0.1875
0.0,0.0353125,-0.1115625,-0.09375,-0.005,-0.046875,-0.3384375,0.2346875,-0.0728125,-0.1909375
0.01375,0.03625,-0.1153125,-0.0965625,-0.0084375,-0.046875,-0.35,0.2384375,-0.0659375,-0.1984375
0.0215625,0.0378125,-0.130625,-0.095625,-0.021875,-0.0403125,-0.355,0.2409375,-0.06,-0.204375
0.0209375,0.038125,-0.1309375,-0.090625,-0.0103125,-0.049375,-0.35125,0.2471875,-0.063125,-0.2071875
0.0290625,0.04625,-0.133125,-0.091875,-0.0196875,-0.0525,-0.3540625,0.246875,-0.063125,-0.2096875
0.0284375,0.04625,-0.1296875,-0.09125,-0.0171875,-0.0596875,-0.355625,0.2403125,-0.056875,-0.2165625
0.033125,0.0415625,-0.1371875,-0.104375,-0.00625,-0.063125,-0.355,0.2403125,-0.0628125,-0.22375
0.0275,0.0378125,-0.148125,-0.111875,-0.011875,-0.0646875,-0.3603125,0.2421875,-0.056875,-0.2240625
0.03,0.033125,-0.1409375,-0.105625,-0.0128125,-0.0803125,-0.3571875,0.2496875,-0.0546875,-0.234375
0.0315625,0.0309375,-0.1371875,-0.1053125,-0.0121875,-0.0803125,-0.358125,0.2484375,-0.0484375,-0.2428125
