m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.0725,-0.0425,-0.10375,-0.07875,-0.02875,-0.115,0.00125,-0.055,0.0275,-0.04875
0.02625,0.005,-0.14875,-0.09875,-0.0625,-0.1325,0.05125,-0.0575,-0.0675,-0.0475
0.02875,0.05,-0.18375,-0.09125,-0.04125,-0.16,0.05,-0.07125,-0.045,-0.035
-0.0025,0.0325,-0.19125,-0.075,-0.11375,-0.175,0.0075,-0.07375,-0.065,-0.01125
-0.005,0.03625,-0.18125,-0.09875,-0.1825,-0.1925,0.0175,-0.0875,-0.0425,-0.03625
-0.04625,-0.02125,-0.15125,-0.1125,-0.19,-0.16875,-0.02625,-0.10375,-0.04875,-0.04625
-0.06875,0.02625,-0.17125,-0.09875,-0.1825,-0.21875,-0.0725,-0.0875,-0.0675,-0.00875
-0.07375,0.02,-0.18375,-0.09375,-0.18875,-0.2275,-0.075,-0.10125,0.005,-0.01375
-0.06125,0.0225,-0.20375,-0.09625,-0.1825,-0.24625,-0.07875,-0.0825,0.03875,-0.0075
-0.01875,0.0325,-0.13375,-0.095,-0.19625,-0.22,-0.105,-0.09,0.065,0.0325
-0.01375,0.04625,-0.15375,-0.08875,-0.195,-0.23875,-0.10125,-0.1375,0.0875,0.0325
0.00125,0.0375,-0.20375,-0.10125,-0.18375,-0.22875,-0.0475,-0.15125,0.17375,0.0
0.0,0.08125,-0.175,-0.0625,-0.165,-0.25875,-0.07375,-0.1375,0.23625,0.0275
-0.035,0.1175,-0.21,-0.01875,-0.185,-0.265,-0.065,-0.15375,0.25625,0.0275
-0.0375,0.14125,-0.22,-0.06,-0.195,-0.255,-0.08,-0.14875,0.29,0.07625
-0.0425,0.16875,-0.225,-0.1025,-0.165,-0.25,-0.125,-0.11625,0.28,0.0725
-0.05125,0.115,-0.27625,-0.12625,-0.17375,-0.22,-0.1025,-0.11,0.3175,0.09375
-0.09125,0.0875,-0.28125,-0.12375,-0.18875,-0.2625,-0.125,-0.12,0.3,0.0425
-0.105,0.0675,-0.265,-0.1625,-0.1775,-0.26625,-0.09125,-0.09625,0.30125,0.0575
-0.1025,0.0625,-0.285,-0.20875,-0.15125,-0.2375,-0.105,-0.09375,0.2825,0.08125
-0.1025,0.08875,-0.24625,-0.16875,-0.1925,-0.2025,-0.1125,-0.13625,0.31125,0.105
-0.1,0.13125,-0.2425,-0.1775,-0.2225,-0.2275,-0.09,-0.17875,0.3275,0.08625
-0.11875,0.14375,-0.24125,-0.2075,-0.16375,-0.23,-0.1,-0.2,0.37125,0.12125
-0.09625,0.18125,-0.24375,-0.205,-0.15625,-0.22875,-0.10875,-0.18125,0.40125,0.1125
-0.13,0.16875,-0.225,-0.21625,-0.1825,-0.2375,-0.09,-0.2,0.395,0.0925
-0.14,0.18375,-0.2325,-0.19875,-0.18875,-0.26375,-0.06875,-0.17125,0.3875,0.125
-0.17,0.18125,-0.245,-0.16375,-0.18875,-0.26625,-0.0575,-0.16875,0.40375,0.14625
-0.175,0.2075,-0.24125,-0.18125,-0.18625,-0.2925,-0.055,-0.17375,0.4125,0.0975
-0.2125,0.225,-0.23875,-0.16,-0.19375,-0.2725,-0.08125,-0.22125,0.44875,0.1025
-0.20125,0.1875,-0.23375,-0.14875,-0.2275,-0.25125,-0.0825,-0.225,0.45,0.1175
-0.165,0.2025,-0.23625,-0.12625,-0.245,-0.24875,-0.075,-0.25875,0.43375,0.07
-0.14,0.21125,-0.235,-0.10625,-0.2325,-0.2725,-0.1025,-0.27875,0.4575,0.09625
-0.145,0.22625,-0.2375,-0.14,-0.24375,-0.28875,-0.1125,-0.285,0.4775,0.1075
-0.13375,0.265,-0.25,-0.16375,-0.25625,-0.28125,-0.10875,-0.24375,0.43125,0.11125
-0.1325,0.27625,-0.2475,-0.155,-0.26375,-0.25875,-0.0825,-0.225,0.44625,0.1075
-0.15,0.28875,-0.24375,-0.135,-0.22625,-0.285,-0.09125,-0.23875,0.4125,0.135
-0.12375,0.285,-0.27125,-0.15,-0.2375,-0.315,-0.09375,-0.2325,0.36625,0.085
-0.095,0.28625,-0.3025,-0.195,-0.17875,-0.30375,-0.11,-0.2475,0.355,0.085
-0.09875,0.27625,-0.29625,-0.1975,-0.14625,-0.35,-0.12,-0.2475,0.34625,0.0575
-0.09125,0.3125,-0.28,-0.16875,-0.12625,-0.37125,-0.11625,-0.24875,0.35,0.04125
-0.1025,0.31,-0.31,-0.16125,-0.1225,-0.36625,-0.1075,-0.22875,0.35625,0.04375
-0.105,0.3475,-0.295,-0.20125,-0.13,-0.38375,-0.08,-0.25,0.34875,0.06875
-0.125,0.3325,-0.275,-0.195,-0.09,-0.40875,-0.06375,-0.2375,0.35,0.0575
-0.08,0.27375,-0.25625,-0.18875,-0.10875,-0.4025,-0.09375,-0.25625,0.3525,0.07625
-0.08,0.30375,-0.2775,-0.1575,-0.105,-0.3775,-0.095,-0.25,0.3825,0.05625
-0.0825,0.3625,-0.2675,-0.1275,-0.1,-0.38375,-0.09,-0.245,0.34125,0.04375
-0.065,0.325,-0.2275,-0.11875,-0.1225,-0.39375,-0.09625,-0.24875,0.33875,0.02125
-0.0625,0.33375,-0.25625,-0.12125,-0.18875,-0.39875,-0.12375,-0.25875,0.325,0.02125
-0.0525,0.33625,-0.23,-0.1325,-0.1875,-0.39125,-0.1125,-0.2975,0.31,-0.00125
-0.02,0.33875,-0.22,-0.16125,-0.2,-0.39125,-0.09625,-0.31,0.28625,-0.005
-0.06125,0.31625,-0.185,-0.17125,-0.18875,-0.40625,-0.14,-0.3125,0.2825,0.005
-0.075,0.32125,-0.2225,-0.13625,-0.21625,-0.45125,-0.19875,-0.285,0.33,-0.01
-0.0725,0.33,-0.20625,-0.12875,-0.13375,-0.43625,-0.2075,-0.3425,0.32,-0.0325
-0.07875,0.3425,-0.1925,-0.1325,-0.14625,-0.4,-0.22125,-0.3075,0.28875,0.0025
-0.0925,0.32875,-0.17625,-0.1375,-0.15875,-0.42875,-0.2225,-0.31,0.28625,0.04375
-0.0825,0.32,-0.15,-0.1925,-0.11,-0.4475,-0.24,-0.32875,0.2425,0.08875
-0.10625,0.31625,-0.10625,-0.2125,-0.12625,-0.4175,-0.26,-0.35,0.225,0.08125
-0.10375,0.27625,-0.1125,-0.23625,-0.13625,-0.375,-0.26125,-0.3675,0.20375,0.095
-0.12875,0.28375,-0.08375,-0.25625,-0.1625,-0.41875,-0.2825,-0.3175,0.21,0.06625
-0.15,0.30625,-0.12125,-0.24875,-0.1825,-0.43125,-0.29125,-0.32625,0.2175,0.03625
-0.16875,0.26875,-0.1275,-0.275,-0.20625,-0.385,-0.28375,-0.33,0.20125,0.09875
-0.17,0.28625,-0.11125,-0.28,-0.19375,-0.3975,-0.27625,-0.3325,0.1775,0.0675
-0.1875,0.28125,-0.10875,-0.28375,-0.1425,-0.38375,-0.29375,-0.29625,0.1775,0.0475
-0.195,0.245,-0.09125,-0.29625,-0.1425,-0.36875,-0.325,-0.29375,0.14875,0.05125
-0.2,0.2275,-0.11875,-0.3075,-0.15375,-0.3625,-0.30875,-0.32875,0.2,0.00875
-0.19,0.275,-0.1025,-0.3075,-0.1825,-0.34125,-0.30875,-0.3575,0.19125,-0.01625
-0.21,0.2375,-0.1325,-0.31375,-0.1725,-0.34375,-0.35,-0.35125,0.18,-0.04875
-0.1975,0.215,-0.135,-0.34625,-0.1025,-0.3675,-0.37875,-0.4075,0.1375,-0.01625
-0.2075,0.2425,-0.15125,-0.32375,-0.1175,-0.35125,-0.3575,-0.37625,0.14375,-0.00875
-0.2125,0.2475,-0.12125,-0.29625,-0.13125,-0.35125,-0.375,-0.42875,0.12375,-0.02125
-0.2175,0.25875,-0.10125,-0.32875,-0.15,-0.3875,-0.3425,-0.45125,0.115,0.01625
-0.22125,0.26875,-0.1,-0.305,-0.1575,-0.35375,-0.33125,-0.45,0.135,0.02
