m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
-0.045,-0.015,-0.04,-0.05125,0.01875,-0.0525,0.03625,0.0,0.0,-0.07875
-0.045,-0.02125,-0.03875,-0.08875,0.01625,-0.00875,0.04375,-0.03125,-0.05,-0.12125
-0.02,-0.035,-0.0625,-0.08375,-0.02,-0.03125,0.06625,0.02375,-0.07875,-0.1375
-0.10125,-0.04375,-0.03,-0.075,-0.03875,-0.04375,0.04375,0.0,-0.07375,-0.125
-0.14125,-0.0475,-0.0175,-0.07875,-0.02625,-0.08625,0.08,-0.00375,-0.085,-0.1575
-0.13625,-0.07125,-0.0175,-0.04375,0.01125,-0.0925,0.0575,0.045,-0.11875,-0.15875
-0.12375,-0.08,-0.03125,-0.02125,0.005,-0.05125,0.095,0.0075,-0.14625,-0.135
-0.12375,-0.1,-0.05875,-0.01,-0.02875,-0.0675,0.09375,0.01,-0.16625,-0.12125
-0.12125,-0.08,-0.08,0.0175,-0.05,-0.05625,0.05875,0.06375,-0.1825,-0.12
-0.1025,-0.10625,-0.1125,0.02625,-0.05875,-0.07125,0.10625,0.05875,-0.2175,-0.105
-0.1275,-0.15125,-0.12375,-0.005,-0.015,-0.0775,0.105,0.0575,-0.18875,-0.10875
-0.145,-0.2,-0.1175,-0.01875,-0.00375,-0.025,0.1175,0.08125,-0.24,-0.0925
-0.14125,-0.16875,-0.09125,0.005,-0.03625,0.02125,0.1525,0.07375,-0.21625,-0.08375
-0.10625,-0.165,-0.04625,-0.05875,-0.03,0.05375,0.17,0.07375,-0.18625,-0.10625
-0.115,-0.16375,-0.0525,-0.0575,-0.045,0.065,0.2,0.1025,-0.16375,-0.10125
-0.14,-0.225,-0.09125,-0.01,-0.0525,0.02625,0.19625,0.075,-0.205,-0.12875
-0.11875,-0.23375,-0.11875,-0.04625,-0.05625,-0.01,0.26625,0.0575,-0.1925,-0.1375
-0.12875,-0.26375,-0.10375,-0.04125,-0.0975,0.01125,0.25875,0.02,-0.17625,-0.18875
-0.15625,-0.3225,-0.115,-0.0125,-0.0775,-0.05125,0.225,0.0075,-0.18625,-0.16
-0.14125,-0.3425,-0.11375,0.0025,-0.08375,-0.035,0.29125,0.035,-0.20875,-0.22125
-0.1825,-0.35375,-0.09125,-0.01875,-0.08375,-0.0575,0.2825,0.0425,-0.2175,-0.23125
-0.2175,-0.4025,-0.03875,-0.065,-0.09,-0.02,0.24625,0.0725,-0.24,-0.24375
-0.2,-0.41,-0.045,-0.095,-0.07875,-0.02125,0.26625,0.0675,-0.26125,-0.22875
-0.1725,-0.4225,-0.0075,-0.11125,-0.06,-0.01625,0.27,0.0925,-0.26625,-0.2125
-0.11375,-0.4525,-0.04,-0.09625,-0.06375,0.0525,0.24,0.145,-0.24125,-0.19
-0.10125,-0.445,-0.025,-0.09375,-0.08125,0.0775,0.25625,0.125,-0.2,-0.1875
-0.0875,-0.43875,0.01,-0.09875,-0.07125,0.03125,0.24875,0.11,-0.215,-0.2025
-0.12,-0.4425,0.015,-0.0925,-0.0525,0.0775,0.23,0.105,-0.2275,-0.245
-0.14,-0.42625,-0.02625,-0.08625,-0.0625,0.06,0.19625,0.09125,-0.2125,-0.23875
-0.2275,-0.395,-0.045,-0.08125,-0.09,0.0125,0.16875,0.10875,-0.19375,-0.28625
-0.23,-0.4,-0.06375,-0.12375,-0.13,0.0225,0.14,0.07125,-0.15625,-0.27125
-0.285,-0.3975,-0.06625,-0.15625,-0.1175,0.02125,0.13875,0.07375,-0.2,-0.24875
-0.295,-0.35,-0.0875,-0.15625,-0.14,0.03625,0.1175,0.0575,-0.2225,-0.2825
