m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.025,-0.00375,-0.0175,0.0375,-0.05625,0.07125,-0.0875,-0.08125,0.0975,0.0125
-0.01,-0.05,-0.02375,0.055,-0.0925,0.095,-0.115,-0.17375,0.13625,0.0375
-0.02125,-0.0875,-0.02125,0.00125,-0.12375,0.10875,-0.1475,-0.21875,0.11,0.045
-0.0225,-0.07625,-0.02125,-0.025,-0.09625,0.13375,-0.19125,-0.23375,0.1175,0.0625
-0.04625,-0.105,-0.00375,-0.0125,-0.09375,0.15125,-0.185,-0.30125,0.10375,0.06875
-0.0675,-0.11625,0.02,-0.00625,-0.0825,0.1825,-0.19625,-0.33,0.16625,0.09125
-0.0725,-0.16375,0.025,-0.025,-0.0875,0.20875,-0.20875,-0.34,0.18875,0.095
-0.085,-0.165,0.025,-0.02625,-0.0625,0.25,-0.2125,-0.34625,0.18,0.1225
-0.065,-0.15625,0.02625,-0.03625,-0.08,0.25375,-0.21875,-0.35125,0.1925,0.1725
-0.05875,-0.14875,0.02375,-0.05375,-0.09125,0.27875,-0.23875,-0.3575,0.2225,0.165
-0.04,-0.15375,0.0275,-0.035,-0.105,0.285,-0.23125,-0.37125,0.22875,0.21
-0.04875,-0.17625,0.0225,-0.0425,-0.12,0.3,-0.2275,-0.38125,0.245,0.19
-0.035,-0.16625,0.01875,-0.0525,-0.13625,0.31125,-0.24125,-0.40125,0.2425,0.21375
-0.03875,-0.1725,0.0325,-0.06125,-0.12875,0.32625,-0.25125,-0.42375,0.23625,0.2275
-0.03875,-0.17125,0.025,-0.04375,-0.1275,0.33125,-0.245,-0.44125,0.2125,0.23125
-0.03875,-0.195,0.005,-0.0275,-0.1125,0.34625,-0.25375,-0.44875,0.21875,0.22125
-0.05,-0.20875,0.00625,-0.03125,-0.105,0.345,-0.25875,-0.44625,0.2225,0.225
-0.04375,-0.2125,-0.00375,-0.045,-0.11875,0.35875,-0.285,-0.445,0.21625,0.225
-0.0675,-0.20375,-0.01125,-0.03125,-0.11375,0.36875,-0.2875,-0.46,0.21375,0.24125
-0.06625,-0.235,-0.04875,-0.015,-0.14,0.38625,-0.29875,-0.45625,0.225,0.22625
-0.045,-0.2175,-0.0725,-0.00625,-0.1325,0.39375,-0.3375,-0.46,0.23875,0.2425
-0.0375,-0.20625,-0.055,-0.00375,-0.1425,0.41125,-0.33875,-0.475,0.23125,0.2475
-0.05125,-0.1975,-0.06,0.0,-0.135,0.41875,-0.3375,-0.4975,0.235,0.24375
-0.055,-0.19,-0.075,0.0025,-0.145,0.41,-0.34,-0.495,0.23125,0.2725
-0.04875,-0.17625,-0.0675,0.0125,-0.15375,0.41125,-0.33875,-0.5075,0.24,0.2875
-0.07125,-0.18375,-0.06375,0.005,-0.165,0.4175,-0.33625,-0.53125,0.2375,0.27625
-0.0875,-0.18125,-0.075,0.0075,-0.18,0.43,-0.34125,-0.53,0.25125,0.28875
-0.0775,-0.18375,-0.0775,0.0175,-0.20625,0.42875,-0.3575,-0.545,0.2475,0.28625
-0.07625,-0.1775,-0.09625,0.02375,-0.2175,0.43875,-0.37625,-0.5575,0.26125,0.2975
-0.075,-0.17,-0.11,0.045,-0.22875,0.45375,-0.375,-0.5825,0.25875,0.28125
-0.08,-0.17,-0.09375,0.055,-0.2075,0.46375,-0.3725,-0.61,0.26375,0.2775
-0.1075,-0.16625,-0.09875,0.0475,-0.195,0.4675,-0.385,-0.60375,0.26125,0.2825
-0.11125,-0.16,-0.09,0.06375,-0.19875,0.485,-0.38375,-0.6275,0.24875,0.2925
-0.11875,-0.1625,-0.115,0.0775,-0.20125,0.4975,-0.3925,-0.62625,0.24375,0.30375
-0.13625,-0.1925,-0.11,0.07875,-0.19125,0.49125,-0.39375,-0.63625,0.25125,0.3175
-0.11125,-0.18875,-0.12625,0.09,-0.22,0.4925,-0.41125,-0.6325,0.2475,0.3125
-0.115,-0.18375,-0.11125,0.0975,-0.22875,0.49875,-0.41125,-0.635,0.24375,0.31625
-0.10375,-0.1625,-0.10875,0.10625,-0.22375,0.50875,-0.39625,-0.63875,0.2425,0.34
-0.08875,-0.18,-0.105,0.1225,-0.2075,0.49875,-0.38,-0.63875,0.25875,0.3525
-0.1175,-0.1825,-0.095,0.10375,-0.2075,0.50625,-0.38625,-0.6375,0.24875,0.35
-0.11625,-0.17375,-0.0825,0.10125,-0.22375,0.50375,-0.37875,-0.62375,0.23375,0.37
-0.11625,-0.18,-0.0875,0.09625,-0.225,0.515,-0.385,-0.61625,0.235,0.39
-0.1325,-0.18125,-0.10625,0.1125,-0.22625,0.52625,-0.40125,-0.61625,0.22875,0.405
-0.1325,-0.195,-0.10375,0.115,-0.21875,0.52625,-0.40625,-0.63,0.2425,0.42125
-0.12,-0.1975,-0.0975,0.09875,-0.2275,0.53625,-0.425,-0.63875,0.24625,0.42375
-0.1225,-0.20125,-0.1025,0.11125,-0.2075,0.5475,-0.4375,-0.63625,0.22625,0.43
-0.11875,-0.20125,-0.08875,0.10375,-0.1975,0.55,-0.4375,-0.6275,0.2325,0.4375
-0.115,-0.21375,-0.0875,0.09875,-0.21125,0.5475,-0.43125,-0.63375,0.2375,0.44375
-0.12125,-0.23875,-0.09625,0.09375,-0.22,0.5625,-0.4325,-0.64625,0.24875,0.44125
-0.13,-0.2325,-0.09375,0.09375,-0.2225,0.57875,-0.44625,-0.65125,0.23875,0.43375
-0.12,-0.23625,-0.1,0.09875,-0.245,0.58875,-0.45625,-0.65125,0.22625,0.4525
-0.105,-0.2425,-0.1,0.10125,-0.2575,0.58375,-0.4575,-0.6625,0.2275,0.46375
-0.10375,-0.24625,-0.0975,0.10625,-0.2625,0.595,-0.47625,-0.65625,0.23,0.47
-0.1,-0.23875,-0.09875,0.1125,-0.26375,0.60125,-0.47875,-0.6775,0.25125,0.475
-0.11125,-0.2475,-0.10625,0.10125,-0.28125,0.6175,-0.48625,-0.68625,0.2425,0.48125
-0.1075,-0.25125,-0.105,0.09875,-0.28375,0.6275,-0.48375,-0.6975,0.2325,0.48
-0.09875,-0.24125,-0.105,0.09875,-0.30125,0.635,-0.48375,-0.68125,0.22625,0.48625
-0.10625,-0.21375,-0.08625,0.08875,-0.28875,0.64125,-0.47375,-0.67625,0.2375,0.4925
-0.09625,-0.21625,-0.07125,0.08125,-0.2825,0.6525,-0.4775,-0.67625,0.24125,0.4925
-0.095,-0.225,-0.0675,0.09875,-0.28375,0.65625,-0.48125,-0.685,0.23875,0.4925
-0.09625,-0.23,-0.06875,0.08375,-0.25875,0.66125,-0.49125,-0.6825,0.25,0.485
-0.10625,-0.21625,-0.0675,0.0825,-0.28375,0.6625,-0.49625,-0.68875,0.255,0.4825
-0.12125,-0.2275,-0.07375,0.08625,-0.27375,0.65875,-0.50375,-0.68125,0.25125,0.48375
-0.1175,-0.21,-0.0725,0.08625,-0.24125,0.66125,-0.50375,-0.68,0.25875,0.49125
-0.115,-0.2075,-0.085,0.06875,-0.24,0.6675,-0.51875,-0.67375,0.26125,0.48
-0.10625,-0.19875,-0.09125,0.0875,-0.235,0.65875,-0.515,-0.67875,0.2625,0.49625
-0.125,-0.18625,-0.09375,0.06375,-0.2475,0.66875,-0.52,-0.67375,0.2525,0.4925
-0.12375,-0.1825,-0.09875,0.06875,-0.2325,0.6775,-0.52125,-0.68375,0.25875,0.495
-0.12,-0.19875,-0.1075,0.06375,-0.24,0.6625,-0.5225,-0.675,0.2625,0.50625
