m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.06875,-0.01125,0.0425,-0.00875,0.07125,-0.00125,-0.00375,-0.04625,0.04375,0.02625
0.01875,-0.04,0.04875,0.0225,0.04875,-0.02125,-0.0025,-0.045,0.0225,0.06875
0.005,-0.01375,0.09125,0.1025,0.04125,0.035,0.0075,-0.02625,0.03625,0.08125
0.07625,-0.0125,0.0325,0.08625,0.0125,0.02,-0.03125,-0.04625,-0.01125,0.0725
0.1075,-0.01875,0.0225,0.075,0.0175,0.01125,0.0075,-0.03625,0.01375,0.05375
0.06125,-0.095,0.035,0.09875,0.1025,-0.0075,0.0025,-0.03375,-0.0225,0.07125
0.0625,-0.055,0.01,0.115,0.15625,0.03,-0.06,-0.09125,0.03875,0.065
0.03875,-0.0925,-0.065,0.095,0.08375,-0.00625,-0.05625,-0.02625,0.00125,0.09125
0.03,-0.11375,-0.01,0.0925,0.12125,-0.03375,-0.02875,-0.00625,0.01875,0.08
-0.015,-0.16375,-0.01,0.095,0.07125,-0.0325,-0.08875,-0.02375,-0.02875,0.03125
-0.01625,-0.045,-0.02875,0.065,0.03375,-0.02125,-0.09375,0.03125,0.00875,0.02875
-0.02125,-0.04875,-0.05625,0.0725,0.05125,0.01875,-0.07125,-0.00875,0.0225,0.03125
-0.04125,-0.00625,-0.03375,0.07875,0.01125,0.0175,-0.0775,0.04625,-0.015,0.07375
0.0025,-0.00125,-0.04375,0.09625,0.0125,0.0375,-0.11875,0.0825,0.0025,0.11125
0.03125,-0.01375,0.02375,0.02125,-0.03375,0.04125,-0.1375,0.10625,-0.00875,0.13125
0.055,0.0575,0.06625,0.0,-0.06875,0.02125,-0.12,0.0575,-0.01,0.1325
0.0525,0.06125,0.04,0.05375,-0.1175,0.06875,-0.06375,0.04875,-0.02375,0.08375
0.015,0.025,-0.0175,0.07375,-0.06,0.06875,-0.05625,0.025,-0.0825,0.0825
0.0125,0.0325,-0.0325,0.0975,-0.03625,0.0375,-0.09125,0.07875,-0.0925,0.06875
0.02875,0.005,0.075,0.0375,-0.0625,-0.00625,-0.085,0.0475,-0.0975,0.09375
0.01625,0.03625,0.05,0.0175,-0.00875,-0.0725,-0.045,0.035,-0.09125,0.04875
-0.00375,0.055,0.11375,0.0225,0.015,-0.0175,-0.0275,0.075,-0.06375,0.04125
0.04875,0.0375,0.11625,0.02375,0.03625,-0.02,0.005,0.025,-0.01375,-0.04625
-0.00375,0.0625,0.07875,0.03625,0.055,-0.05875,-0.01625,-0.0025,-0.00625,-0.02875
-0.01375,0.00125,0.03125,0.0675,0.045,-0.04125,-0.00875,-0.01375,-0.035,-0.0675
-0.0275,-0.035,0.02375,0.00625,0.04375,-0.0375,0.02,0.01625,-0.0225,-0.06375
0.04375,0.05125,0.0475,-0.01875,-0.02625,-0.0175,0.03375,-0.045,-0.04,-0.01375
0.08875,0.105,0.0375,-0.0025,0.0,-0.0275,0.02125,0.0275,-0.125,0.00375
0.06125,0.06,0.01,-0.06875,-0.0075,0.01,0.04,0.05,-0.10875,0.02
0.035,0.05875,0.01,-0.03625,0.02125,-0.02875,0.04125,0.04125,-0.085,0.0175
0.0,0.09,0.01625,-0.03875,0.04,-0.095,0.075,0.07125,-0.065,0.01
0.015,0.035,0.0,-0.03625,-0.00125,-0.02625,0.07375,0.07125,-0.07375,-0.02125
-0.02125,0.03125,-0.03,-0.045,0.055,-0.0275,0.06375,0.0675,-0.05625,-0.045
-0.045,0.0275,-0.03375,-0.0075,0.0975,-0.04,0.0325,0.05875,-0.07,-0.01125
-0.045,0.0275,-0.03125,-0.04375,0.17125,-0.11375,0.04625,0.025,-0.1125,-0.01625
-0.01375,-0.00125,-0.0675,-0.04875,0.1075,-0.12,0.09625,0.04125,-0.13375,0.03125
-0.03125,-0.02,-0.0625,-0.065,0.0525,-0.13375,0.0725,0.02,-0.11875,0.06375
-0.035,-0.03,-0.075,-0.0025,0.015,-0.12375,-0.015,-0.01375,-0.11625,0.10375
-0.0325,-0.05375,-0.0475,-0.02125,0.05875,-0.11375,0.0425,-0.02,-0.12125,0.15125
-0.0325,-0.07,-0.04125,-0.065,0.03875,-0.07875,0.00625,-0.0025,-0.0825,0.1275
-0.0275,-0.13875,-0.04625,-0.03,0.05,0.02375,0.005,0.00125,-0.0475,0.05875
-0.0225,-0.1075,-0.0875,-0.055,0.0725,0.00875,-0.01,-0.02875,-0.03875,0.00625
-0.04625,-0.07625,-0.12375,-0.0725,0.0775,0.00125,0.01,-0.08625,-0.01,0.05625
-0.08375,-0.10875,-0.09625,-0.03625,0.06375,0.00625,0.04875,-0.04125,-0.03,0.04125
-0.09125,-0.0725,-0.1075,-0.01125,0.08875,-0.00125,0.07375,-0.06375,-0.095,0.09375
-0.09,-0.055,-0.09875,0.0225,0.05,0.02125,0.02,-0.02875,-0.0375,0.13625
-0.05125,-0.0575,-0.10875,-0.04125,0.01125,0.01625,0.03875,-0.05,0.00375,0.135
-0.03875,-0.0725,-0.10625,-0.05875,0.02,0.0425,0.015,-0.0075,-0.00625,0.15
0.01,-0.105,-0.0725,-0.0525,0.00625,0.00875,0.025,0.0225,-0.00875,0.13
0.00125,-0.0575,-0.05875,-0.07875,-0.03375,0.02,0.03625,-0.05625,-0.035,0.11375
-0.0025,-0.03875,-0.05,-0.0625,-0.05375,0.00625,0.00625,-0.04875,-0.0025,0.06
