m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.03,-0.00625,-0.06625,-0.00625,0.075,-0.05375,-0.03375,0.0475,0.02,0.01125
0.03375,0.05,-0.07625,0.01375,0.0975,-0.09,-0.03625,0.08875,-0.01875,0.0225
0.05,0.09875,-0.075,-0.0225,0.12875,-0.1425,-0.0775,0.12125,0.03625,0.015
0.07,0.07,-0.1,-0.05125,0.16,-0.1825,-0.10375,0.13125,0.005,0.035
0.055,0.08625,-0.13125,-0.035,0.1775,-0.21,-0.0975,0.1675,-0.00375,0.0075
0.05,0.085,-0.18125,-0.0325,0.2275,-0.20125,-0.12,0.14875,-0.02875,0.0275
0.04875,0.0875,-0.205,-0.00625,0.27875,-0.2175,-0.16375,0.18,-0.01625,0.015
0.055,0.1075,-0.245,-0.005,0.305,-0.22375,-0.17125,0.1975,-0.02,0.005
0.04375,0.12375,-0.295,-0.00125,0.3275,-0.26125,-0.16875,0.22125,-0.01,-0.00125
0.0525,0.10875,-0.34375,-0.03625,0.3475,-0.27875,-0.19,0.21125,0.005,0.02
0.08,0.11,-0.37875,-0.0275,0.36375,-0.325,-0.18875,0.24625,0.02375,0.0275
0.1,0.0925,-0.42,-0.0525,0.36125,-0.355,-0.20125,0.22375,0.00375,0.0325
0.09125,0.10375,-0.44,-0.05375,0.3675,-0.3825,-0.19625,0.2325,0.005,0.04125
0.09,0.125,-0.4575,-0.07,0.3675,-0.3675,-0.1975,0.24625,0.0125,0.05625
0.12375,0.16,-0.46625,-0.05625,0.3775,-0.39625,-0.2125,0.23875,0.03,0.08125
0.15625,0.16625,-0.49125,-0.04375,0.38375,-0.3975,-0.225,0.25125,0.02,0.095
0.1575,0.15,-0.5075,-0.0525,0.39375,-0.4175,-0.25375,0.2525,-0.00375,0.10125
0.17,0.14625,-0.51875,-0.02875,0.405,-0.43,-0.27375,0.23875,0.0225,0.105
0.19125,0.1675,-0.52125,-0.04,0.41625,-0.4275,-0.2775,0.24875,0.0325,0.13125
0.205,0.18125,-0.5375,-0.0425,0.42375,-0.44375,-0.2725,0.24625,0.0225,0.1625
0.20875,0.20875,-0.5525,-0.03875,0.42875,-0.43,-0.2725,0.25125,0.0325,0.15125
0.225,0.23375,-0.57125,-0.055,0.4275,-0.42125,-0.2725,0.2275,0.055,0.1725
0.225,0.24125,-0.5775,-0.075,0.4275,-0.43375,-0.2675,0.2275,0.0475,0.18125
0.23125,0.25,-0.59625,-0.08875,0.4275,-0.455,-0.275,0.23125,0.05875,0.17125
0.26125,0.2575,-0.60625,-0.09375,0.4425,-0.47125,-0.255,0.24875,0.05875,0.1775
