m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.025,0.04,-0.02,0.0225,0.0625,-0.0225,-0.01875,0.0775,-0.01625,-0.05125
0.0475,-0.0125,-0.0075,0.0325,0.05875,-0.07625,-0.0875,0.07,0.01375,-0.07875
0.0225,-0.00125,-0.045,-0.00875,0.04125,-0.1,-0.12,0.065,0.01375,-0.07375
0.01625,0.01875,-0.08,0.0125,0.055,-0.1175,-0.16875,0.11625,0.00125,-0.10625
0.03375,-0.0175,-0.09375,0.0625,0.05875,-0.0325,-0.175,0.14375,0.025,-0.0825
0.02625,-0.0175,-0.13125,0.065,0.03875,-0.00875,-0.21125,0.12625,0.08125,-0.095
0.0575,-0.0325,-0.16,0.0775,0.10125,-0.02,-0.2125,0.18,0.0575,-0.10625
0.075,-0.06125,-0.16625,0.0825,0.14625,-0.01625,-0.225,0.15375,0.015,-0.06
0.1325,-0.1,-0.17375,0.09375,0.16,0.00625,-0.24625,0.1825,0.02625,-0.04875
0.14875,-0.13125,-0.2225,0.08375,0.165,-0.03625,-0.25625,0.17375,0.03,-0.0775
0.16125,-0.13375,-0.23625,0.12375,0.14875,-0.06375,-0.245,0.16875,0.02125,-0.14
0.15,-0.105,-0.1725,0.12875,0.1575,-0.10125,-0.23875,0.185,0.02375,-0.17125
0.12625,-0.12,-0.24125,0.1725,0.16375,-0.10375,-0.19375,0.16125,-0.02375,-0.1525
0.16125,-0.14375,-0.23375,0.18375,0.15125,-0.05625,-0.215,0.13875,-0.0225,-0.14625
0.205,-0.14375,-0.2975,0.15,0.165,-0.0425,-0.23125,0.11625,-0.005,-0.10875
0.25125,-0.16875,-0.3125,0.18625,0.135,-0.05375,-0.27,0.165,-0.035,-0.075
0.26625,-0.155,-0.31,0.17125,0.14375,-0.0825,-0.26125,0.1675,0.01375,-0.0925
0.28125,-0.16625,-0.34875,0.145,0.22375,-0.1475,-0.29375,0.18875,-0.0125,-0.075
0.2725,-0.1875,-0.29375,0.13875,0.24375,-0.1175,-0.325,0.20125,-0.01625,-0.03125
0.235,-0.15,-0.30375,0.1725,0.21625,-0.14375,-0.3025,0.21875,-0.02375,-0.05125
0.2475,-0.10625,-0.26375,0.1275,0.16875,-0.15625,-0.22375,0.22625,-0.07125,-0.045
0.23125,-0.11,-0.275,0.1025,0.1925,-0.13125,-0.22,0.27625,-0.10625,-0.0475
0.2175,-0.10625,-0.2725,0.1125,0.17,-0.1425,-0.215,0.29,-0.12125,-0.0025
0.2025,-0.09125,-0.29375,0.13375,0.2075,-0.16,-0.23375,0.2775,-0.11,-0.0275
0.2175,-0.115,-0.30125,0.08375,0.22625,-0.17,-0.1975,0.2625,-0.16,-0.05125
0.2225,-0.10375,-0.2625,0.07125,0.24875,-0.16875,-0.185,0.28,-0.1675,-0.05875
0.2225,-0.095,-0.27,0.10375,0.28625,-0.15,-0.1825,0.2925,-0.1925,-0.075
0.22875,-0.1425,-0.28375,0.07875,0.3025,-0.18375,-0.1725,0.27625,-0.255,-0.09
0.2325,-0.145,-0.27625,0.09125,0.28125,-0.14,-0.145,0.2475,-0.25625,-0.11625
0.23875,-0.1075,-0.23625,0.08125,0.28875,-0.12625,-0.15125,0.26375,-0.265,-0.1125
0.23625,-0.09625,-0.1975,0.08,0.3025,-0.15375,-0.18375,0.25625,-0.2975,-0.1575
0.26,-0.09125,-0.18625,0.1,0.32875,-0.19,-0.15625,0.2575,-0.32375,-0.155
0.25,-0.11125,-0.145,0.095,0.31125,-0.21375,-0.18,0.25125,-0.3175,-0.1725
0.2475,-0.11,-0.1375,0.0675,0.30625,-0.24125,-0.12,0.255,-0.335,-0.155
0.24875,-0.1,-0.155,0.045,0.3375,-0.19625,-0.10875,0.24375,-0.385,-0.14375
0.2725,-0.09,-0.16,0.05,0.34375,-0.155,-0.0575,0.2275,-0.39,-0.12625
