m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.165,0.08,-0.01,0.025,0.005,-0.02,0.01,0.12,-0.15,-0.005
0.25,0.1,-0.04,0.095,0.045,0.02,0.035,0.155,-0.245,0.06
0.28,0.095,-0.055,0.23,-0.065,0.08,0.09,0.21,-0.295,0.055
0.28,0.135,-0.125,0.285,-0.075,0.13,0.13,0.21,-0.37,0.045
0.33,0.18,-0.125,0.325,-0.045,0.15,0.105,0.235,-0.43,-0.005
0.335,0.125,-0.155,0.335,-0.065,0.225,0.145,0.195,-0.485,-0.01
0.35,0.155,-0.175,0.37,-0.025,0.245,0.145,0.235,-0.54,0.045
0.395,0.225,-0.2,0.44,-0.025,0.26,0.14,0.2,-0.57,0.08
0.38,0.225,-0.195,0.44,-0.015,0.33,0.13,0.225,-0.565,0.07
0.44,0.19,-0.2,0.555,-0.07,0.36,0.175,0.26,-0.61,0.1
0.42,0.25,-0.225,0.585,-0.065,0.395,0.19,0.31,-0.67,0.09
0.45,0.23,-0.225,0.61,-0.075,0.415,0.19,0.275,-0.735,0.065
0.44,0.225,-0.215,0.65,-0.065,0.41,0.215,0.275,-0.765,0.01
0.445,0.25,-0.245,0.68,-0.06,0.465,0.265,0.3,-0.805,-0.015
0.47,0.31,-0.26,0.7,-0.05,0.485,0.28,0.34,-0.855,0.0
0.52,0.35,-0.275,0.715,-0.02,0.515,0.27,0.33,-0.86,0.05
0.555,0.375,-0.24,0.74,-0.02,0.545,0.3,0.375,-0.875,0.115
0.6,0.4,-0.25,0.715,-0.08,0.55,0.33,0.385,-0.875,0.07
0.625,0.435,-0.25,0.73,-0.115,0.515,0.365,0.41,-0.905,0.095
0.605,0.45,-0.265,0.74,-0.1,0.53,0.4,0.435,-0.925,0.085
0.605,0.495,-0.295,0.775,-0.065,0.565,0.42,0.415,-0.96,0.13
0.62,0.5,-0.245,0.785,-0.035,0.62,0.42,0.445,-0.96,0.14
0.66,0.525,-0.24,0.77,0.01,0.63,0.41,0.44,-0.98,0.175
0.67,0.53,-0.265,0.815,0.025,0.645,0.44,0.425,-0.99,0.14
0.725,0.565,-0.235,0.87,0.04,0.695,0.455,0.48,-0.995,0.14
0.74,0.57,-0.245,0.935,0.05,0.685,0.47,0.54,-1.0,0.125
0.79,0.58,-0.245,0.93,0.045,0.72,0.425,0.525,-1.0,0.105
0.775,0.59,-0.255,0.97,0.02,0.74,0.435,0.53,-0.995,0.09
0.79,0.595,-0.25,0.97,0.07,0.765,0.47,0.53,-0.985,0.065
0.805,0.615,-0.245,0.985,0.085,0.79,0.51,0.585,-0.995,0.065
0.835,0.62,-0.22,0.98,0.105,0.785,0.545,0.615,-1.0,0.06
0.88,0.635,-0.185,0.99,0.08,0.78,0.55,0.64,-1.0,0.07
0.9,0.64,-0.17,0.985,0.14,0.805,0.555,0.66,-1.0,0.135
0.915,0.665,-0.185,0.985,0.125,0.8,0.595,0.715,-1.0,0.145
0.96,0.72,-0.155,0.995,0.145,0.805,0.635,0.745,-1.0,0.135
0.975,0.73,-0.19,0.995,0.055,0.82,0.645,0.8,-1.0,0.12
0.99,0.76,-0.195,1.0,0.075,0.845,0.66,0.815,-1.0,0.11
0.985,0.79,-0.205,1.0,0.075,0.86,0.72,0.83,-1.0,0.105
0.995,0.82,-0.215,1.0,0.08,0.905,0.75,0.835,-1.0,0.08
0.99,0.81,-0.23,1.0,0.1,0.91,0.765,0.85,-1.0,0.095
0.995,0.83,-0.205,1.0,0.135,0.935,0.795,0.86,-1.0,0.115
0.995,0.835,-0.215,1.0,0.125,0.925,0.845,0.875,-1.0,0.115
1.0,0.845,-0.235,1.0,0.145,0.935,0.86,0.875,-1.0,0.145
1.0,0.85,-0.25,1.0,0.11,0.945,0.865,0.87,-1.0,0.15
1.0,0.865,-0.27,1.0,0.08,0.95,0.89,0.875,-1.0,0.17
0.995,0.875,-0.285,1.0,0.075,0.945,0.895,0.915,-1.0,0.12
0.995,0.87,-0.295,1.0,0.075,0.945,0.91,0.97,-1.0,0.135
1.0,0.855,-0.295,1.0,0.065,0.945,0.91,0.985,-1.0,0.16
