m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
-0.125,-0.1,-0.005,-0.09,0.095,-0.155,-0.16,-0.005,-0.265,0.005
-0.225,-0.215,-0.17,-0.065,0.22,-0.205,-0.205,-0.03,-0.415,0.025
-0.255,-0.285,-0.145,-0.15,0.36,-0.21,-0.335,-0.01,-0.54,0.06
-0.285,-0.37,-0.215,-0.12,0.37,-0.19,-0.36,-0.055,-0.595,0.04
-0.38,-0.36,-0.23,-0.105,0.445,-0.295,-0.365,-0.04,-0.665,0.075
-0.385,-0.355,-0.215,-0.155,0.455,-0.33,-0.45,-0.075,-0.71,0.06
-0.425,-0.375,-0.145,-0.16,0.495,-0.345,-0.52,-0.08,-0.76,0.09
-0.415,-0.335,-0.12,-0.145,0.55,-0.31,-0.515,-0.12,-0.84,0.09
-0.425,-0.365,-0.125,-0.18,0.575,-0.33,-0.555,-0.19,-0.875,0.07
-0.41,-0.355,-0.075,-0.16,0.63,-0.325,-0.54,-0.22,-0.9,0.07
-0.405,-0.35,-0.08,-0.15,0.67,-0.355,-0.58,-0.215,-0.93,0.1
-0.395,-0.355,-0.11,-0.18,0.745,-0.37,-0.6,-0.245,-0.94,0.115
-0.435,-0.355,-0.09,-0.125,0.785,-0.415,-0.675,-0.26,-0.96,0.115
-0.505,-0.355,-0.1,-0.06,0.8,-0.43,-0.675,-0.255,-0.975,0.115
-0.545,-0.385,-0.1,-0.045,0.805,-0.455,-0.71,-0.225,-0.98,0.07
-0.535,-0.37,-0.135,0.005,0.82,-0.515,-0.745,-0.21,-1.0,0.08
-0.575,-0.36,-0.19,0.065,0.805,-0.51,-0.8,-0.215,-1.0,0.085
-0.6,-0.35,-0.21,0.08,0.815,-0.525,-0.825,-0.225,-1.0,0.06
-0.585,-0.34,-0.205,0.17,0.83,-0.55,-0.85,-0.23,-1.0,0.075
-0.62,-0.345,-0.22,0.18,0.835,-0.575,-0.88,-0.195,-1.0,0.085
-0.635,-0.325,-0.25,0.2,0.87,-0.59,-0.915,-0.17,-1.0,0.11
-0.645,-0.32,-0.21,0.21,0.885,-0.6,-0.92,-0.19,-1.0,0.095
-0.65,-0.32,-0.24,0.24,0.885,-0.595,-0.935,-0.19,-1.0,0.095
-0.645,-0.315,-0.245,0.245,0.91,-0.64,-0.955,-0.165,-1.0,0.07
-0.655,-0.295,-0.23,0.235,0.92,-0.665,-0.98,-0.145,-1.0,0.13
-0.67,-0.33,-0.2,0.26,0.94,-0.675,-0.99,-0.155,-1.0,0.15
-0.675,-0.34,-0.245,0.265,0.96,-0.69,-1.0,-0.17,-1.0,0.135
-0.7,-0.345,-0.27,0.245,0.96,-0.695,-1.0,-0.175,-1.0,0.105
-0.725,-0.365,-0.27,0.27,0.96,-0.72,-1.0,-0.17,-1.0,0.085
-0.72,-0.365,-0.28,0.295,0.97,-0.74,-1.0,-0.17,-1.0,0.1
-0.74,-0.405,-0.3,0.305,0.985,-0.76,-1.0,-0.175,-1.0,0.095
