m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
-0.065,-0.05,0.085,0.115,-0.075,0.065,0.03,0.18,0.035,-0.09
-0.095,-0.13,0.225,0.175,-0.075,0.15,0.06,0.2,0.04,-0.17
-0.125,-0.255,0.31,0.24,-0.035,0.155,0.11,0.195,0.015,-0.17
-0.115,-0.3,0.375,0.29,0.035,0.18,0.165,0.2,-0.015,-0.23
-0.105,-0.32,0.4,0.32,0.025,0.26,0.205,0.165,-0.055,-0.29
-0.135,-0.295,0.465,0.345,-0.005,0.265,0.245,0.19,-0.095,-0.29
-0.2,-0.33,0.52,0.385,0.035,0.295,0.265,0.255,-0.17,-0.315
-0.23,-0.35,0.595,0.42,-0.045,0.39,0.345,0.26,-0.195,-0.325
-0.21,-0.35,0.645,0.425,-0.04,0.405,0.41,0.275,-0.27,-0.365
-0.175,-0.39,0.68,0.48,-0.01,0.42,0.42,0.305,-0.27,-0.405
-0.135,-0.39,0.72,0.47,-0.02,0.405,0.45,0.315,-0.31,-0.415
-0.115,-0.38,0.765,0.5,-0.025,0.4,0.47,0.27,-0.305,-0.485
-0.115,-0.405,0.81,0.59,-0.07,0.48,0.47,0.225,-0.335,-0.47
-0.135,-0.4,0.805,0.635,-0.065,0.48,0.45,0.205,-0.325,-0.505
-0.135,-0.395,0.81,0.62,-0.05,0.485,0.51,0.2,-0.365,-0.495
-0.145,-0.43,0.83,0.62,-0.03,0.47,0.51,0.235,-0.345,-0.485
-0.15,-0.42,0.825,0.625,-0.015,0.51,0.53,0.26,-0.335,-0.48
-0.14,-0.415,0.84,0.655,-0.035,0.49,0.535,0.265,-0.34,-0.5
-0.155,-0.45,0.855,0.665,-0.035,0.515,0.56,0.245,-0.325,-0.525
-0.18,-0.51,0.875,0.66,-0.025,0.48,0.57,0.255,-0.335,-0.53
-0.185,-0.545,0.865,0.7,-0.02,0.52,0.57,0.25,-0.31,-0.51
-0.19,-0.575,0.89,0.71,-0.025,0.545,0.56,0.245,-0.325,-0.505
-0.17,-0.54,0.935,0.705,-0.05,0.575,0.62,0.225,-0.32,-0.48
-0.17,-0.565,0.96,0.73,-0.02,0.565,0.61,0.22,-0.32,-0.505
-0.18,-0.57,0.98,0.74,-0.025,0.585,0.645,0.27,-0.315,-0.515
-0.2,-0.615,1.0,0.745,-0.005,0.59,0.65,0.34,-0.285,-0.52
-0.225,-0.605,1.0,0.74,-0.025,0.635,0.695,0.38,-0.285,-0.5
-0.235,-0.645,1.0,0.74,-0.055,0.64,0.735,0.41,-0.275,-0.49
-0.235,-0.66,1.0,0.775,-0.075,0.655,0.74,0.43,-0.28,-0.495
-0.21,-0.695,1.0,0.805,-0.065,0.685,0.78,0.48,-0.285,-0.5
-0.235,-0.715,1.0,0.835,-0.075,0.63,0.81,0.535,-0.28,-0.505
-0.235,-0.695,1.0,0.845,-0.055,0.66,0.815,0.565,-0.26,-0.5
-0.23,-0.725,1.0,0.865,-0.055,0.675,0.825,0.575,-0.25,-0.52
-0.23,-0.72,1.0,0.88,-0.045,0.69,0.83,0.585,-0.26,-0.53
-0.23,-0.76,1.0,0.93,-0.045,0.7,0.83,0.65,-0.24,-0.535
-0.23,-0.78,1.0,0.955,-0.055,0.715,0.835,0.665,-0.28,-0.535
-0.25,-0.81,0.995,0.98,-0.085,0.72,0.855,0.66,-0.28,-0.53
-0.25,-0.825,1.0,0.985,-0.085,0.76,0.885,0.66,-0.285,-0.515
-0.235,-0.84,1.0,1.0,-0.08,0.77,0.93,0.705,-0.25,-0.525
-0.26,-0.825,1.0,1.0,-0.07,0.78,0.965,0.725,-0.255,-0.54
-0.27,-0.83,1.0,1.0,-0.035,0.785,0.995,0.77,-0.27,-0.54
-0.26,-0.845,1.0,1.0,-0.065,0.805,0.995,0.765,-0.285,-0.525
-0.255,-0.87,1.0,1.0,-0.08,0.855,1.0,0.815,-0.29,-0.5
-0.24,-0.89,1.0,1.0,-0.085,0.845,1.0,0.85,-0.285,-0.5
-0.27,-0.92,1.0,1.0,-0.07,0.865,1.0,0.9,-0.285,-0.5
-0.31,-0.935,1.0,1.0,-0.11,0.88,1.0,0.92,-0.295,-0.5
-0.31,-0.95,1.0,1.0,-0.135,0.9,1.0,0.935,-0.32,-0.495
-0.345,-0.98,1.0,1.0,-0.155,0.935,1.0,0.96,-0.33,-0.5
-0.34,-0.985,1.0,1.0,-0.145,0.955,1.0,0.995,-0.32,-0.5
-0.355,-1.0,1.0,1.0,-0.145,0.975,1.0,1.0,-0.32,-0.5
-0.335,-1.0,1.0,1.0,-0.145,1.0,1.0,1.0,-0.31,-0.5
-0.335,-1.0,1.0,1.0,-0.135,1.0,1.0,1.0,-0.315,-0.5
-0.32,-1.0,1.0,1.0,-0.12,1.0,1.0,1.0,-0.305,-0.495
-0.33,-1.0,1.0,1.0,-0.145,1.0,1.0,1.0,-0.32,-0.49
-0.32,-1.0,1.0,1.0,-0.15,1.0,1.0,1.0,-0.335,-0.49
-0.3,-1.0,1.0,1.0,-0.15,1.0,1.0,1.0,-0.345,-0.48
-0.28,-1.0,1.0,1.0,-0.175,1.0,1.0,1.0,-0.345,-0.495
-0.335,-1.0,1.0,1.0,-0.19,1.0,1.0,1.0,-0.34,-0.5
-0.355,-1.0,1.0,1.0,-0.175,1.0,1.0,1.0,-0.345,-0.505
-0.345,-1.0,1.0,1.0,-0.16,1.0,1.0,1.0,-0.345,-0.5
-0.36,-1.0,1.0,1.0,-0.16,1.0,1.0,1.0,-0.35,-0.535
-0.345,-1.0,1.0,1.0,-0.15,1.0,1.0,1.0,-0.365,-0.525
-0.345,-1.0,1.0,1.0,-0.15,1.0,1.0,1.0,-0.365,-0.55
-0.345,-1.0,1.0,1.0,-0.15,1.0,1.0,1.0,-0.37,-0.515
-0.365,-1.0,1.0,1.0,-0.13,1.0,1.0,1.0,-0.375,-0.52
-0.375,-1.0,1.0,1.0,-0.135,1.0,1.0,1.0,-0.365,-0.54
-0.375,-1.0,1.0,1.0,-0.115,1.0,1.0,1.0,-0.37,-0.565
-0.41,-1.0,1.0,1.0,-0.13,1.0,1.0,1.0,-0.39,-0.57
-0.42,-1.0,1.0,1.0,-0.155,1.0,1.0,1.0,-0.385,-0.53
-0.415,-1.0,1.0,1.0,-0.15,1.0,1.0,1.0,-0.395,-0.515
-0.4,-1.0,1.0,1.0,-0.135,1.0,1.0,1.0,-0.4,-0.55
-0.425,-1.0,1.0,1.0,-0.13,1.0,1.0,1.0,-0.4,-0.56
-0.455,-1.0,1.0,1.0,-0.135,1.0,1.0,1.0,-0.4,-0.57
-0.475,-1.0,1.0,1.0,-0.13,1.0,1.0,1.0,-0.4,-0.59
-0.475,-1.0,1.0,1.0,-0.135,1.0,1.0,1.0,-0.4,-0.59
-0.49,-1.0,1.0,1.0,-0.145,1.0,1.0,1.0,-0.4,-0.6
-0.5,-1.0,1.0,1.0,-0.14,1.0,1.0,1.0,-0.4,-0.6
-0.53,-1.0,1.0,1.0,-0.155,1.0,1.0,1.0,-0.4,-0.6
-0.545,-1.0,1.0,1.0,-0.155,1.0,1.0,1.0,-0.4,-0.6
-0.545,-1.0,1.0,1.0,-0.165,1.0,1.0,1.0,-0.4,-0.6
-0.57,-1.0,1.0,1.0,-0.19,1.0,1.0,1.0,-0.4,-0.6
-0.565,-1.0,1.0,1.0,-0.195,1.0,1.0,1.0,-0.395,-0.6
-0.57,-1.0,1.0,1.0,-0.185,1.0,1.0,1.0,-0.4,-0.605
-0.555,-1.0,1.0,1.0,-0.14,1.0,1.0,1.0,-0.4,-0.63
-0.545,-1.0,1.0,1.0,-0.15,1.0,1.0,1.0,-0.39,-0.635
-0.535,-1.0,1.0,1.0,-0.17,1.0,1.0,1.0,-0.39,-0.62
-0.545,-1.0,1.0,1.0,-0.145,1.0,1.0,1.0,-0.365,-0.615
-0.545,-1.0,1.0,1.0,-0.135,1.0,1.0,1.0,-0.385,-0.615
-0.525,-1.0,1.0,1.0,-0.125,1.0,1.0,1.0,-0.385,-0.625
-0.505,-1.0,1.0,1.0,-0.135,1.0,1.0,1.0,-0.38,-0.625
-0.51,-1.0,1.0,1.0,-0.13,1.0,1.0,1.0,-0.35,-0.64
