m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
-0.10875,0.07625,-0.04875,0.0075,-0.09,-0.0475,-0.00125,0.05375,-0.06125,-0.05625
-0.17625,0.13625,-0.07625,0.0425,-0.14,-0.08875,-0.00375,0.09125,-0.15375,-0.0375
-0.24,0.15,-0.10125,-0.00125,-0.18875,-0.11625,0.01375,0.10375,-0.1875,-0.0325
-0.2625,0.2075,-0.13375,-0.01375,-0.23,-0.1175,0.00875,0.14125,-0.21,-0.065
-0.30125,0.24,-0.1425,-0.0175,-0.2625,-0.1225,0.0225,0.14375,-0.21,-0.0475
-0.33875,0.28,-0.1625,-0.0075,-0.2825,-0.1225,0.0275,0.14125,-0.23125,-0.055
-0.39375,0.2875,-0.17875,0.00875,-0.29375,-0.135,0.00625,0.17875,-0.25375,-0.0375
-0.4375,0.28875,-0.195,-0.005,-0.31125,-0.12625,0.0075,0.19125,-0.24125,-0.0025
-0.4525,0.29125,-0.20125,-0.02375,-0.33125,-0.1275,0.01625,0.21,-0.26375,-0.0075
-0.48375,0.31,-0.23375,-0.0225,-0.33,-0.11625,0.02375,0.18875,-0.27625,-0.01
-0.5175,0.33875,-0.24875,-0.02875,-0.3325,-0.115,-0.00625,0.165,-0.27625,0.005
-0.54,0.36625,-0.235,-0.0075,-0.32625,-0.12625,-0.0125,0.14875,-0.275,0.01125
-0.5625,0.3875,-0.25375,-0.0325,-0.35625,-0.1325,-0.02375,0.18125,-0.27875,0.01625
-0.58375,0.39875,-0.285,-0.0175,-0.3625,-0.14375,-0.00875,0.18125,-0.29375,0.01625
-0.59125,0.4025,-0.27875,-0.015,-0.36,-0.13,-0.01,0.18625,-0.28125,0.02375
-0.61,0.41875,-0.26875,-0.01875,-0.36125,-0.15375,-0.0175,0.185,-0.27625,0.01875
-0.62875,0.43375,-0.28875,-0.05,-0.35125,-0.15625,-0.02,0.2175,-0.28375,0.05625
-0.62375,0.4375,-0.28375,-0.08625,-0.3475,-0.14,-0.03625,0.2325,-0.2975,0.075
-0.64375,0.455,-0.275,-0.08375,-0.3425,-0.14,-0.025,0.235,-0.3,0.08375
-0.67125,0.45375,-0.2925,-0.06,-0.35,-0.1375,-0.035,0.25375,-0.3225,0.08125
-0.68125,0.48375,-0.295,-0.06125,-0.3775,-0.1175,-0.03875,0.25875,-0.3275,0.07375
-0.6975,0.49625,-0.3025,-0.0475,-0.3725,-0.10375,-0.045,0.27375,-0.32875,0.07125
-0.70125,0.5,-0.28625,-0.06375,-0.38375,-0.07625,-0.03875,0.28625,-0.335,0.07625
-0.71625,0.52875,-0.30375,-0.08375,-0.3925,-0.08375,-0.025,0.30375,-0.3375,0.09375
-0.7175,0.515,-0.2925,-0.09625,-0.39875,-0.07375,-0.02375,0.31875,-0.33875,0.11
-0.73,0.535,-0.2875,-0.0975,-0.39375,-0.08125,-0.01125,0.32625,-0.345,0.0925
-0.74375,0.5475,-0.2975,-0.1075,-0.415,-0.0825,-0.02125,0.3225,-0.34875,0.10375
-0.755,0.5525,-0.32625,-0.07875,-0.44,-0.08125,-0.01875,0.3375,-0.33375,0.08375
-0.76875,0.56,-0.33375,-0.08,-0.445,-0.10625,-0.0175,0.3225,-0.35375,0.085
-0.78,0.56875,-0.3375,-0.07125,-0.44625,-0.1175,0.01125,0.345,-0.35625,0.07125
-0.78375,0.59125,-0.36125,-0.07875,-0.455,-0.1225,0.0075,0.35,-0.3575,0.07625
