m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
-0.085,-0.1,-0.205,0.055,-0.03,0.01,0.165,0.18,0.01,0.265
-0.14,-0.215,-0.29,0.055,0.005,0.01,0.235,0.265,-0.06,0.305
-0.205,-0.315,-0.33,0.03,-0.005,0.01,0.36,0.36,0.035,0.355
-0.235,-0.405,-0.37,0.005,-0.03,0.085,0.435,0.355,0.21,0.41
-0.29,-0.475,-0.4,-0.025,-0.135,0.115,0.45,0.305,0.27,0.455
-0.245,-0.48,-0.39,-0.02,-0.085,0.145,0.5,0.305,0.35,0.485
-0.265,-0.5,-0.43,0.015,-0.01,0.15,0.56,0.31,0.395,0.535
-0.25,-0.54,-0.43,0.04,0.045,0.14,0.605,0.365,0.43,0.535
-0.27,-0.535,-0.45,0.015,0.015,0.19,0.69,0.41,0.445,0.59
-0.19,-0.55,-0.465,-0.02,0.02,0.17,0.675,0.43,0.475,0.57
-0.16,-0.6,-0.505,-0.01,0.025,0.195,0.675,0.45,0.485,0.585
-0.16,-0.63,-0.535,0.045,0.06,0.2,0.695,0.49,0.47,0.61
-0.14,-0.63,-0.545,0.015,0.1,0.185,0.7,0.485,0.55,0.655
-0.145,-0.605,-0.56,0.0,0.075,0.23,0.715,0.54,0.54,0.68
-0.165,-0.61,-0.595,0.01,0.085,0.23,0.74,0.54,0.57,0.665
-0.145,-0.625,-0.625,0.05,0.05,0.21,0.735,0.515,0.585,0.69
-0.15,-0.64,-0.645,0.07,0.035,0.215,0.745,0.525,0.6,0.67
-0.125,-0.705,-0.64,0.05,0.06,0.22,0.785,0.48,0.62,0.725
-0.19,-0.715,-0.63,0.04,0.075,0.21,0.8,0.505,0.69,0.725
-0.18,-0.765,-0.645,0.055,0.095,0.195,0.83,0.525,0.725,0.725
-0.185,-0.765,-0.63,0.02,0.135,0.165,0.82,0.53,0.755,0.75
-0.23,-0.74,-0.635,0.02,0.175,0.19,0.81,0.545,0.82,0.785
-0.24,-0.8,-0.68,0.08,0.145,0.17,0.885,0.515,0.82,0.825
-0.225,-0.815,-0.675,0.035,0.215,0.135,0.915,0.56,0.86,0.805
-0.23,-0.885,-0.66,0.045,0.275,0.11,0.94,0.555,0.905,0.845
-0.25,-0.895,-0.66,0.035,0.265,0.1,0.935,0.565,0.945,0.865
-0.27,-0.935,-0.68,0.07,0.27,0.06,0.96,0.55,0.965,0.89
-0.26,-0.96,-0.675,0.105,0.34,0.01,0.97,0.6,0.985,0.89
-0.275,-0.98,-0.68,0.07,0.335,0.035,0.98,0.615,0.99,0.91
-0.23,-0.99,-0.71,0.045,0.325,0.045,0.99,0.615,1.0,0.93
-0.225,-0.985,-0.72,0.045,0.325,0.055,0.995,0.63,1.0,0.94
-0.285,-0.99,-0.755,0.06,0.315,0.08,1.0,0.605,1.0,0.94
-0.3,-0.995,-0.76,0.095,0.365,0.075,0.995,0.605,1.0,0.955
-0.33,-0.995,-0.81,0.075,0.325,0.055,1.0,0.65,1.0,0.975
-0.365,-1.0,-0.85,0.055,0.35,0.025,1.0,0.655,1.0,0.99
-0.375,-1.0,-0.86,0.085,0.4,0.03,1.0,0.675,1.0,0.995
-0.39,-0.995,-0.865,0.105,0.4,-0.005,1.0,0.69,0.995,1.0
-0.455,-1.0,-0.88,0.13,0.44,-0.045,1.0,0.69,1.0,1.0
-0.46,-1.0,-0.905,0.105,0.425,-0.055,1.0,0.71,1.0,1.0
-0.475,-1.0,-0.91,0.11,0.425,-0.055,1.0,0.735,1.0,1.0
-0.485,-1.0,-0.94,0.07,0.42,-0.095,1.0,0.74,0.995,1.0
-0.525,-1.0,-0.95,0.1,0.45,-0.08,1.0,0.765,0.995,1.0
-0.53,-1.0,-0.97,0.085,0.475,-0.075,1.0,0.775,0.995,1.0
-0.59,-1.0,-0.965,0.1,0.495,-0.04,1.0,0.815,1.0,1.0
-0.595,-1.0,-0.975,0.09,0.55,-0.055,1.0,0.795,1.0,1.0
-0.58,-1.0,-0.99,0.12,0.525,-0.1,1.0,0.84,1.0,1.0
-0.57,-1.0,-0.99,0.115,0.505,-0.14,1.0,0.845,1.0,1.0
-0.635,-1.0,-0.995,0.135,0.545,-0.155,1.0,0.84,1.0,1.0
-0.655,-1.0,-0.995,0.13,0.555,-0.135,1.0,0.835,0.995,1.0
-0.665,-1.0,-1.0,0.155,0.56,-0.145,1.0,0.885,1.0,0.995
-0.675,-1.0,-1.0,0.17,0.545,-0.11,1.0,0.895,1.0,0.995
-0.705,-1.0,-1.0,0.215,0.595,-0.08,1.0,0.905,1.0,1.0
-0.735,-1.0,-1.0,0.22,0.65,-0.09,0.995,0.89,1.0,1.0
-0.79,-1.0,-0.995,0.215,0.655,-0.12,1.0,0.895,1.0,1.0
-0.805,-1.0,-0.995,0.205,0.645,-0.13,1.0,0.93,1.0,1.0
-0.785,-1.0,-1.0,0.2,0.66,-0.13,1.0,0.95,1.0,1.0
-0.805,-1.0,-1.0,0.25,0.655,-0.155,1.0,0.95,1.0,1.0
-0.84,-1.0,-1.0,0.245,0.695,-0.155,1.0,0.97,0.995,1.0
-0.88,-1.0,-1.0,0.28,0.735,-0.195,1.0,0.975,0.995,1.0
-0.895,-1.0,-1.0,0.25,0.75,-0.195,1.0,0.985,0.995,1.0
-0.92,-1.0,-1.0,0.31,0.8,-0.21,1.0,0.99,1.0,0.995
-0.955,-1.0,-1.0,0.32,0.835,-0.24,0.995,0.99,1.0,1.0
