m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.08,-0.28,0.14,-0.06,0.08,-0.2,0.04,0.02,0.22,-0.08
0.26,-0.4,0.04,0.02,0.02,-0.2,-0.16,-0.04,0.38,-0.1
0.26,-0.48,0.08,0.06,-0.1,-0.14,-0.34,-0.1,0.36,-0.14
0.12,-0.48,0.04,0.0,-0.04,-0.18,-0.46,0.0,0.34,-0.06
0.14,-0.28,0.16,0.0,-0.08,-0.18,-0.42,0.06,0.1,0.2
-0.14,-0.32,0.28,0.08,0.06,-0.32,-0.42,0.04,0.16,0.06
-0.06,-0.22,0.36,0.06,-0.02,-0.4,-0.42,0.0,0.22,0.08
-0.04,-0.16,0.3,-0.08,-0.06,-0.4,-0.42,0.14,0.04,0.2
-0.06,-0.1,0.5,-0.02,-0.08,-0.42,-0.5,0.2,-0.06,0.1
-0.02,-0.06,0.5,-0.12,-0.04,-0.4,-0.44,0.34,-0.08,-0.04
-0.06,-0.06,0.38,-0.22,0.12,-0.52,-0.64,0.32,-0.36,-0.12
-0.12,-0.06,0.34,-0.24,0.06,-0.56,-0.58,0.3,-0.48,-0.24
-0.22,-0.04,0.44,-0.3,-0.02,-0.6,-0.58,0.3,-0.56,-0.28
-0.32,-0.06,0.32,-0.28,-0.1,-0.62,-0.56,0.34,-0.72,-0.22
-0.38,-0.22,0.34,-0.34,-0.16,-0.62,-0.58,0.38,-0.84,-0.1
-0.56,-0.38,0.4,-0.04,-0.2,-0.8,-0.68,0.36,-0.94,-0.04
-0.5,-0.38,0.48,-0.2,-0.16,-0.86,-0.76,0.28,-0.94,0.02
-0.6,-0.3,0.58,-0.2,-0.16,-1.0,-0.82,0.14,-0.96,0.12
-0.6,-0.36,0.58,-0.28,-0.1,-0.98,-0.86,0.32,-0.94,0.08
-0.64,-0.54,0.6,-0.26,-0.22,-0.96,-1.0,0.24,-0.94,-0.06
-0.76,-0.7,0.8,-0.6,-0.14,-0.96,-0.98,0.5,-0.92,-0.04
-0.84,-0.74,0.82,-0.48,-0.18,-0.98,-0.98,0.36,-0.98,-0.3
-0.76,-0.8,0.9,-0.44,-0.1,-0.98,-1.0,0.54,-1.0,-0.16
-0.74,-0.82,0.9,-0.6,-0.06,-0.98,-1.0,0.58,-1.0,-0.16
-0.8,-0.96,0.98,-0.58,-0.2,-0.94,-1.0,0.66,-1.0,-0.16
-0.76,-0.96,0.98,-0.62,-0.2,-0.88,-0.98,0.68,-0.98,-0.2
-0.88,-0.92,1.0,-0.56,-0.24,-0.9,-1.0,0.78,-0.96,0.04
-0.92,-0.96,1.0,-0.6,-0.22,-0.92,-1.0,0.8,-0.96,-0.02
-0.92,-0.88,0.98,-0.66,-0.26,-0.98,-1.0,0.88,-0.96,-0.06
-0.98,-0.92,0.98,-0.62,-0.16,-0.9,-1.0,0.84,-1.0,-0.04
-0.94,-0.84,0.98,-0.7,-0.2,-0.94,-1.0,0.82,-0.98,-0.1
-0.9,-0.94,0.98,-0.78,-0.12,-1.0,-1.0,0.8,-1.0,-0.24
-0.92,-0.94,0.94,-0.92,-0.04,-1.0,-0.96,0.8,-0.94,-0.42
-0.98,-0.94,0.98,-0.96,0.16,-0.98,-1.0,0.78,-0.96,-0.42
-1.0,-0.98,1.0,-0.94,0.2,-1.0,-1.0,0.82,-0.98,-0.42
-1.0,-0.94,0.96,-0.98,0.16,-1.0,-0.98,0.94,-1.0,-0.48
-1.0,-0.94,1.0,-0.92,0.32,-1.0,-1.0,1.0,-0.98,-0.48
-0.92,-0.96,1.0,-0.92,0.38,-0.98,-1.0,1.0,-0.98,-0.38
-0.94,-0.96,1.0,-0.9,0.52,-0.96,-0.98,0.98,-1.0,-0.26
-0.94,-0.98,0.96,-0.92,0.64,-0.94,-0.92,0.98,-0.98,-0.32
-1.0,-0.98,0.96,-0.96,0.68,-0.98,-0.94,0.98,-1.0,-0.36
-0.98,-0.98,1.0,-0.96,0.7,-1.0,-0.92,0.92,-1.0,-0.42
-0.98,-0.96,0.98,-0.96,0.74,-1.0,-0.96,0.8,-1.0,-0.5
-1.0,-0.96,1.0,-1.0,0.84,-1.0,-0.98,0.88,-0.98,-0.48
-0.96,-0.96,1.0,-1.0,0.9,-1.0,-1.0,0.94,-0.98,-0.36
-0.96,-0.98,1.0,-1.0,0.88,-1.0,-0.98,1.0,-0.98,-0.2
-0.98,-0.98,1.0,-1.0,0.94,-0.98,-0.98,0.96,-0.98,-0.18
-0.98,-0.98,1.0,-0.96,0.96,-0.98,-1.0,0.98,-0.98,-0.06
-0.92,-1.0,1.0,-0.96,0.98,-0.98,-0.98,0.98,-1.0,-0.08
-0.98,-0.98,0.94,-0.98,1.0,-0.96,-0.98,1.0,-1.0,0.02
-0.98,-0.96,0.96,-1.0,1.0,-0.94,-0.98,1.0,-0.98,0.06
-0.98,-0.96,0.94,-1.0,1.0,-0.92,-0.96,0.98,-1.0,-0.02
-0.96,-1.0,0.94,-0.98,1.0,-0.96,-0.98,0.92,-1.0,-0.08
-0.98,-1.0,0.98,-0.94,1.0,-0.96,-0.94,0.92,-0.94,-0.14
-0.98,-0.98,0.96,-0.92,1.0,-0.98,-0.96,0.92,-0.9,-0.16
-0.96,-0.98,0.98,-0.92,0.98,-1.0,-1.0,0.98,-0.96,-0.08
-0.96,-1.0,0.94,-0.96,0.94,-0.96,-1.0,1.0,-0.94,-0.1
-0.98,-1.0,0.9,-1.0,0.84,-0.98,-1.0,1.0,-0.92,0.04
-1.0,-1.0,0.94,-0.96,0.96,-0.94,-1.0,1.0,-0.98,0.08
-1.0,-1.0,0.92,-0.98,0.94,-0.98,-0.98,1.0,-0.98,0.32
-0.94,-0.96,0.9,-0.96,0.92,-0.98,-1.0,0.9,-0.94,0.24
-0.92,-0.98,0.94,-0.98,0.96,-1.0,-0.98,0.94,-0.92,0.28
-0.98,-0.98,0.96,-0.96,1.0,-0.98,-0.98,0.94,-0.98,0.22
-0.92,-1.0,1.0,-0.98,1.0,-1.0,-0.98,0.96,-0.98,0.18
-0.9,-1.0,0.98,-0.98,1.0,-0.98,-1.0,0.94,-1.0,0.12
-0.96,-1.0,0.98,-0.96,1.0,-1.0,-0.94,0.96,-0.98,0.1
-1.0,-0.98,1.0,-0.98,1.0,-1.0,-0.94,0.96,-0.94,0.0
-1.0,-0.98,1.0,-0.96,0.98,-0.98,-1.0,0.96,-0.98,-0.18
-0.98,-0.96,0.96,-0.94,0.98,-1.0,-1.0,0.96,-0.94,-0.14
-1.0,-0.96,0.96,-0.96,1.0,-1.0,-1.0,0.96,-0.96,-0.08
-0.96,-0.98,0.94,-0.96,0.96,-1.0,-1.0,0.98,-1.0,-0.12
-0.96,-1.0,0.98,-0.96,0.98,-1.0,-0.98,1.0,-1.0,-0.22
-0.96,-1.0,0.98,-0.98,1.0,-0.98,-0.92,1.0,-0.98,-0.22
-1.0,-1.0,0.98,-0.98,0.98,-1.0,-0.9,1.0,-0.96,-0.3
-1.0,-0.98,1.0,-0.98,0.96,-0.98,-0.96,0.98,-0.92,-0.28
-0.96,-0.94,1.0,-0.96,0.98,-0.98,-1.0,1.0,-0.9,-0.18
-0.94,-0.98,0.96,-1.0,0.96,-1.0,-1.0,1.0,-0.98,-0.14
-0.96,-0.98,0.98,-0.98,0.98,-1.0,-1.0,0.98,-1.0,-0.14
-1.0,-0.98,0.96,-0.98,1.0,-1.0,-0.98,0.98,-0.98,-0.22
-1.0,-1.0,0.96,-0.96,0.98,-0.98,-0.96,0.98,-1.0,-0.18
-1.0,-0.98,0.88,-0.94,0.96,-1.0,-0.94,0.98,-1.0,-0.22
