m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.36,-0.16,0.16,-0.12,-0.24,0.06,0.1,0.06,-0.18,-0.2
0.62,-0.34,0.1,-0.2,-0.3,-0.02,0.24,0.44,-0.2,-0.38
0.8,-0.26,0.12,-0.18,-0.44,-0.3,0.3,0.7,-0.22,-0.54
0.92,-0.22,0.12,-0.02,-0.62,-0.36,0.36,0.8,-0.22,-0.64
0.98,-0.44,0.08,-0.1,-0.74,-0.56,0.42,0.92,-0.32,-0.8
0.94,-0.48,0.02,0.08,-0.82,-0.72,0.56,0.98,-0.48,-0.84
0.94,-0.46,-0.08,0.06,-0.92,-0.76,0.68,1.0,-0.36,-0.84
0.98,-0.6,-0.1,0.0,-0.98,-0.86,0.74,1.0,-0.46,-0.84
0.98,-0.68,-0.1,-0.3,-0.98,-0.78,0.7,0.98,-0.46,-0.7
0.98,-0.76,-0.08,-0.28,-0.98,-0.82,0.8,0.98,-0.54,-0.78
0.9,-0.86,-0.06,-0.24,-1.0,-0.78,0.74,0.98,-0.62,-0.74
0.94,-0.92,0.1,-0.32,-0.98,-0.86,0.8,1.0,-0.66,-0.66
0.98,-0.9,0.16,-0.34,-0.94,-0.84,0.94,0.94,-0.78,-0.7
0.96,-0.9,0.16,-0.38,-0.98,-0.86,0.98,0.96,-0.82,-0.7
0.96,-0.94,0.1,-0.34,-1.0,-0.88,0.98,1.0,-0.86,-0.7
0.96,-0.94,0.06,-0.32,-0.98,-0.9,0.98,1.0,-0.86,-0.66
0.98,-0.96,0.02,-0.36,-0.96,-0.88,1.0,1.0,-0.88,-0.74
1.0,-0.94,0.12,-0.2,-0.96,-0.98,1.0,1.0,-0.96,-0.9
1.0,-1.0,0.2,-0.32,-0.96,-0.98,0.98,1.0,-0.98,-0.94
1.0,-0.96,0.3,-0.24,-0.96,-1.0,1.0,1.0,-0.98,-1.0
0.96,-0.98,0.34,-0.38,-0.94,-1.0,0.96,0.96,-1.0,-1.0
0.96,-0.98,0.42,-0.46,-0.96,-0.98,0.96,0.9,-1.0,-1.0
1.0,-1.0,0.36,-0.64,-0.96,-0.96,0.96,0.96,-0.98,-0.96
0.98,-1.0,0.32,-0.82,-0.94,-1.0,0.96,0.98,-0.96,-1.0
1.0,-0.98,0.3,-0.86,-0.96,-1.0,0.94,0.98,-0.96,-0.98
0.96,-1.0,0.22,-0.84,-0.98,-1.0,1.0,0.94,-0.94,-0.98
0.9,-0.92,0.28,-0.9,-0.98,-1.0,1.0,1.0,-0.98,-1.0
0.96,-0.94,0.42,-0.88,-1.0,-0.96,0.98,1.0,-1.0,-1.0
0.96,-0.92,0.62,-0.96,-0.98,-0.94,0.94,0.92,-0.98,-0.96
0.98,-1.0,0.66,-1.0,-0.98,-0.98,0.96,0.96,-0.98,-0.94
0.98,-0.98,0.72,-0.96,-1.0,-1.0,1.0,1.0,-0.96,-0.96
0.98,-0.98,0.68,-0.96,-0.96,-1.0,0.96,1.0,-0.98,-0.94
0.94,-0.96,0.72,-0.92,-0.9,-0.96,0.98,0.98,-0.96,-0.98
0.94,-0.98,0.72,-0.98,-0.9,-0.92,0.98,0.94,-1.0,-1.0
0.94,-1.0,0.76,-0.96,-0.96,-0.96,0.94,0.96,-1.0,-0.98
0.98,-1.0,0.86,-0.98,-0.98,-0.94,0.96,0.98,-0.98,-0.98
0.98,-1.0,0.98,-1.0,-0.96,-0.92,0.98,1.0,-0.98,-1.0
0.92,-1.0,0.98,-0.98,-0.98,-0.94,1.0,0.98,-0.94,-0.98
0.96,-0.98,1.0,-0.92,-0.98,-0.96,0.98,0.9,-0.96,-0.98
0.98,-0.98,0.98,-0.98,-0.94,-0.96,0.98,0.96,-1.0,-0.94
0.98,-0.98,0.96,-1.0,-0.88,-1.0,1.0,0.94,-1.0,-0.96
0.98,-1.0,0.98,-0.96,-0.92,-1.0,1.0,0.98,-1.0,-0.98
0.98,-1.0,0.96,-0.98,-0.94,-1.0,1.0,0.96,-0.98,-0.92
0.94,-1.0,0.96,-0.96,-1.0,-0.98,1.0,0.98,-0.96,-0.94
0.96,-0.98,0.96,-0.94,-1.0,-0.98,1.0,1.0,-0.96,-0.96
0.98,-1.0,0.94,-0.96,-1.0,-0.98,0.98,0.98,-0.98,-0.96
0.98,-1.0,0.96,-0.98,-0.98,-0.96,1.0,0.94,-0.96,-0.96
0.96,-0.94,0.98,-0.98,-0.94,-1.0,1.0,0.92,-0.94,-0.98
0.94,-0.92,0.98,-0.98,-0.9,-0.98,1.0,0.98,-0.96,-0.98
0.94,-0.94,1.0,-0.98,-0.92,-0.94,1.0,0.98,-0.96,-0.96
0.92,-0.96,0.94,-0.98,-0.94,-0.9,1.0,1.0,-1.0,-0.98
0.94,-1.0,0.94,-0.98,-1.0,-0.96,0.98,1.0,-0.96,-1.0
0.88,-0.96,1.0,-0.96,-1.0,-0.94,0.98,0.98,-0.98,-1.0
0.94,-0.96,1.0,-0.98,-0.98,-0.96,1.0,0.98,-0.98,-1.0
0.9,-0.94,0.98,-1.0,-1.0,-0.94,0.94,1.0,-1.0,-0.98
0.92,-0.98,1.0,-0.98,-1.0,-0.94,0.96,0.94,-1.0,-0.98
0.92,-0.98,0.98,-1.0,-1.0,-0.9,0.94,0.96,-1.0,-0.94
0.96,-1.0,0.98,-0.98,-0.96,-0.94,0.94,0.98,-1.0,-0.94
0.94,-0.98,0.98,-0.94,-0.98,-0.98,0.9,0.98,-1.0,-0.94
0.98,-1.0,0.98,-0.96,-1.0,-0.94,0.98,1.0,-1.0,-0.96
0.98,-0.98,0.98,-0.92,-1.0,-0.98,1.0,0.96,-0.96,-0.92
0.88,-0.98,0.98,-0.96,-1.0,-0.94,1.0,0.98,-0.98,-0.92
0.94,-0.96,1.0,-0.96,-1.0,-1.0,0.98,0.94,-0.98,-0.94
0.98,-0.98,1.0,-0.98,-0.98,-0.98,1.0,0.98,-1.0,-0.98
0.98,-0.98,0.92,-1.0,-0.96,-0.94,1.0,0.96,-1.0,-0.98
1.0,-1.0,0.96,-0.96,-0.98,-0.92,1.0,0.92,-0.98,-0.98
1.0,-0.98,0.96,-1.0,-0.98,-0.94,1.0,0.94,-1.0,-0.94
1.0,-1.0,0.96,-0.98,-1.0,-1.0,0.98,1.0,-0.94,-0.96
0.96,-0.98,0.96,-0.94,-0.98,-1.0,0.98,0.98,-0.9,-0.96
0.96,-0.98,0.98,-0.96,-0.98,-1.0,1.0,0.98,-0.94,-0.94
