m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.13,-0.05,-0.015,0.04,-0.08,0.105,0.075,-0.16,0.02,0.0
0.225,-0.05,0.095,0.02,-0.175,0.215,0.02,-0.135,0.04,0.025
0.305,-0.045,0.155,0.01,-0.165,0.29,0.04,-0.135,0.075,0.005
0.385,-0.105,0.16,0.065,-0.13,0.395,0.03,-0.14,0.135,0.0
0.455,-0.02,0.165,0.06,-0.17,0.43,0.05,-0.15,0.13,0.02
0.465,-0.005,0.245,0.12,-0.155,0.51,0.085,-0.145,0.14,-0.015
0.49,0.05,0.27,0.125,-0.18,0.58,0.1,-0.12,0.15,-0.025
0.545,0.16,0.3,0.15,-0.215,0.635,0.11,-0.085,0.205,-0.025
0.57,0.15,0.285,0.135,-0.215,0.665,0.15,-0.075,0.185,-0.01
0.61,0.185,0.295,0.19,-0.255,0.735,0.15,-0.07,0.21,-0.02
0.65,0.16,0.3,0.205,-0.255,0.715,0.125,-0.025,0.22,-0.03
0.65,0.22,0.33,0.225,-0.275,0.73,0.115,-0.04,0.295,0.01
0.65,0.255,0.3,0.215,-0.33,0.7,0.135,-0.01,0.34,0.02
0.66,0.275,0.3,0.215,-0.325,0.705,0.11,-0.01,0.385,0.005
0.68,0.28,0.325,0.19,-0.405,0.735,0.13,0.005,0.38,0.045
0.685,0.275,0.295,0.23,-0.44,0.745,0.115,0.02,0.385,0.02
0.74,0.275,0.31,0.24,-0.45,0.74,0.145,-0.015,0.39,0.075
0.77,0.285,0.28,0.255,-0.43,0.725,0.195,0.0,0.415,0.025
0.785,0.285,0.265,0.31,-0.43,0.715,0.195,0.0,0.435,0.0
0.79,0.28,0.22,0.24,-0.45,0.745,0.175,0.025,0.455,-0.04
0.795,0.25,0.26,0.24,-0.445,0.765,0.21,0.065,0.435,-0.04
0.825,0.255,0.25,0.25,-0.435,0.78,0.17,0.06,0.475,-0.055
0.835,0.26,0.25,0.265,-0.445,0.8,0.155,0.1,0.52,-0.07
0.83,0.265,0.24,0.29,-0.465,0.795,0.125,0.145,0.505,-0.08
0.835,0.26,0.23,0.275,-0.515,0.82,0.155,0.165,0.505,-0.06
0.86,0.255,0.22,0.275,-0.515,0.835,0.145,0.19,0.515,-0.045
0.86,0.255,0.195,0.295,-0.49,0.85,0.16,0.175,0.495,-0.035
0.875,0.25,0.205,0.275,-0.505,0.89,0.14,0.175,0.485,0.0
0.875,0.255,0.22,0.295,-0.51,0.935,0.125,0.145,0.515,-0.045
0.885,0.255,0.225,0.27,-0.515,0.95,0.15,0.115,0.535,-0.06
0.89,0.265,0.22,0.225,-0.52,0.985,0.145,0.1,0.565,-0.08
0.92,0.27,0.175,0.2,-0.555,0.99,0.12,0.14,0.575,-0.085
0.935,0.24,0.185,0.195,-0.55,1.0,0.11,0.155,0.59,-0.095
0.935,0.235,0.215,0.165,-0.55,1.0,0.125,0.135,0.64,-0.09
0.94,0.23,0.19,0.185,-0.575,1.0,0.135,0.14,0.63,-0.08
0.96,0.225,0.165,0.18,-0.585,1.0,0.145,0.14,0.65,-0.06
0.98,0.245,0.21,0.18,-0.605,1.0,0.14,0.125,0.66,-0.06
0.99,0.25,0.22,0.22,-0.625,1.0,0.155,0.155,0.675,-0.09
0.995,0.265,0.24,0.175,-0.655,1.0,0.15,0.16,0.71,-0.095
1.0,0.27,0.275,0.19,-0.67,1.0,0.15,0.155,0.735,-0.085
1.0,0.28,0.285,0.185,-0.68,1.0,0.155,0.145,0.735,-0.075
1.0,0.25,0.27,0.195,-0.69,1.0,0.155,0.155,0.75,-0.08
1.0,0.24,0.295,0.23,-0.7,1.0,0.175,0.18,0.79,-0.095
1.0,0.245,0.31,0.215,-0.7,1.0,0.185,0.185,0.8,-0.11
1.0,0.225,0.315,0.235,-0.755,1.0,0.185,0.195,0.775,-0.12
1.0,0.225,0.33,0.205,-0.785,1.0,0.185,0.18,0.795,-0.09
1.0,0.225,0.29,0.205,-0.77,1.0,0.185,0.19,0.81,-0.075
1.0,0.22,0.275,0.205,-0.79,1.0,0.185,0.18,0.835,-0.07
1.0,0.21,0.285,0.18,-0.78,1.0,0.185,0.185,0.845,-0.045
1.0,0.2,0.305,0.17,-0.82,1.0,0.195,0.185,0.875,-0.035
1.0,0.2,0.31,0.185,-0.845,1.0,0.22,0.195,0.885,-0.065
1.0,0.19,0.31,0.2,-0.87,1.0,0.22,0.2,0.89,-0.065
1.0,0.18,0.3,0.19,-0.865,1.0,0.24,0.2,0.895,-0.075
1.0,0.17,0.3,0.185,-0.875,1.0,0.245,0.2,0.895,-0.095
1.0,0.195,0.325,0.185,-0.9,1.0,0.235,0.2,0.89,-0.09
1.0,0.175,0.33,0.185,-0.89,1.0,0.22,0.2,0.925,-0.105
1.0,0.175,0.355,0.18,-0.915,1.0,0.23,0.2,0.94,-0.12
1.0,0.185,0.335,0.15,-0.92,1.0,0.23,0.2,0.95,-0.135
1.0,0.195,0.315,0.14,-0.915,1.0,0.225,0.195,0.955,-0.13
1.0,0.15,0.325,0.155,-0.955,1.0,0.22,0.195,0.98,-0.13
1.0,0.155,0.36,0.18,-0.945,1.0,0.25,0.19,1.0,-0.135
1.0,0.175,0.33,0.195,-0.95,1.0,0.245,0.185,1.0,-0.14
1.0,0.185,0.3,0.195,-0.98,1.0,0.235,0.2,1.0,-0.12
1.0,0.185,0.305,0.195,-0.98,1.0,0.23,0.195,1.0,-0.115
1.0,0.225,0.305,0.19,-0.985,1.0,0.245,0.205,1.0,-0.11
1.0,0.225,0.305,0.18,-1.0,1.0,0.235,0.205,1.0,-0.115
