m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.14,-0.34,0.1,0.14,0.02,-0.16,0.04,-0.26,-0.06,0.06
0.2,-0.42,0.02,0.34,-0.08,-0.24,0.04,-0.4,-0.04,0.04
0.14,-0.56,0.06,0.38,-0.12,-0.22,0.12,-0.1,-0.02,-0.06
0.18,-0.66,0.2,0.38,0.08,-0.22,0.12,-0.04,0.06,0.08
0.16,-0.64,0.14,0.5,0.12,-0.1,0.04,0.02,0.1,0.12
0.16,-0.66,0.08,0.48,0.28,-0.08,0.1,0.1,0.14,0.26
0.2,-0.52,0.08,0.48,0.28,-0.14,0.08,0.2,0.14,0.24
0.18,-0.54,0.04,0.44,0.3,0.0,0.1,0.1,0.2,0.24
0.26,-0.46,0.08,0.6,0.46,-0.02,0.12,-0.02,0.24,0.32
0.38,-0.58,0.04,0.48,0.42,-0.02,0.12,0.0,0.3,0.28
0.38,-0.64,0.1,0.6,0.5,0.04,0.16,0.02,0.36,0.36
0.48,-0.72,0.16,0.64,0.54,0.04,0.22,-0.18,0.32,0.48
0.58,-0.78,0.16,0.74,0.56,-0.08,0.32,-0.24,0.38,0.5
0.64,-0.86,0.12,0.78,0.68,0.04,0.36,-0.26,0.36,0.44
0.58,-0.98,0.18,0.76,0.78,-0.1,0.46,-0.2,0.34,0.34
0.54,-0.98,0.24,0.86,0.84,-0.06,0.4,-0.08,0.36,0.36
0.54,-1.0,0.32,0.98,0.86,-0.14,0.66,-0.26,0.34,0.38
0.6,-0.94,0.52,0.96,0.88,-0.16,0.66,-0.34,0.28,0.54
0.64,-0.9,0.62,0.98,0.94,-0.14,0.72,-0.4,0.24,0.62
0.68,-0.94,0.74,1.0,1.0,-0.34,0.84,-0.42,0.3,0.6
0.76,-0.98,0.88,0.98,0.98,-0.46,0.82,-0.4,0.28,0.54
0.8,-1.0,0.9,0.98,1.0,-0.74,0.92,-0.46,0.28,0.68
0.86,-0.98,0.88,1.0,0.94,-0.72,0.94,-0.54,0.1,0.62
0.98,-0.98,0.92,1.0,0.96,-0.84,0.98,-0.68,0.0,0.74
0.92,-1.0,0.94,0.98,0.98,-0.92,0.94,-0.78,0.12,0.82
0.94,-1.0,0.98,0.98,0.96,-0.96,0.98,-0.76,-0.02,0.86
0.96,-0.94,1.0,1.0,1.0,-0.98,1.0,-0.84,-0.02,0.98
0.94,-0.96,0.98,0.96,1.0,-0.98,0.98,-0.88,-0.12,1.0
0.98,-0.98,0.96,0.98,0.98,-0.98,0.96,-0.98,-0.1,1.0
0.98,-0.98,0.94,0.98,1.0,-1.0,0.98,-0.94,-0.24,0.98
0.94,-1.0,0.96,0.98,1.0,-0.98,1.0,-0.94,-0.44,0.96
0.96,-0.98,0.98,1.0,1.0,-0.98,1.0,-0.94,-0.38,0.96
0.96,-0.96,1.0,1.0,1.0,-1.0,1.0,-0.96,-0.34,0.96
0.92,-0.92,0.98,0.98,1.0,-0.98,1.0,-0.92,-0.46,0.96
0.96,-0.9,0.98,0.98,0.98,-0.96,1.0,-0.88,-0.5,0.96
0.96,-0.96,0.94,0.98,1.0,-0.98,0.98,-0.96,-0.62,0.96
1.0,-0.96,0.9,0.98,0.98,-1.0,0.98,-0.96,-0.68,0.98
1.0,-0.98,0.98,0.96,0.96,-1.0,1.0,-0.92,-0.78,0.96
0.98,-1.0,0.98,0.96,0.98,-1.0,1.0,-0.9,-0.84,0.98
0.98,-1.0,0.98,0.94,0.98,-0.92,0.98,-0.96,-0.94,0.98
0.98,-0.96,1.0,0.98,0.98,-0.92,1.0,-0.98,-0.92,0.98
1.0,-1.0,1.0,0.96,0.96,-0.94,1.0,-0.98,-0.92,0.98
1.0,-1.0,1.0,0.98,0.94,-0.88,0.96,-0.96,-0.96,0.96
1.0,-0.98,1.0,0.94,0.9,-0.92,0.96,-1.0,-0.96,0.98
1.0,-0.96,0.98,0.98,0.86,-0.84,0.88,-0.96,-0.94,1.0
0.94,-1.0,0.98,0.96,0.92,-0.88,0.88,-0.98,-0.98,0.98
0.98,-1.0,0.94,0.98,0.96,-0.84,0.9,-0.94,-0.98,1.0
0.96,-1.0,0.94,1.0,0.88,-0.88,0.84,-1.0,-1.0,1.0
0.96,-1.0,0.96,0.98,0.92,-0.92,0.82,-1.0,-1.0,0.98
0.96,-0.98,0.94,1.0,1.0,-0.98,0.9,-0.96,-0.96,0.96
0.94,-1.0,0.98,1.0,0.98,-1.0,0.96,-1.0,-1.0,0.98
0.98,-0.98,0.96,1.0,0.98,-0.98,0.92,-0.96,-1.0,0.96
0.98,-1.0,0.98,1.0,0.96,-0.98,0.96,-1.0,-1.0,0.96
0.92,-0.98,0.98,1.0,0.96,-0.94,0.96,-1.0,-0.98,0.9
1.0,-0.9,1.0,0.98,0.94,-0.98,0.92,-0.98,-0.96,0.96
1.0,-0.98,0.98,0.94,0.96,-1.0,1.0,-0.98,-0.96,1.0
1.0,-0.96,0.96,1.0,0.96,-0.96,1.0,-0.92,-0.9,0.98
1.0,-0.9,0.92,0.98,0.98,-0.96,0.96,-1.0,-0.94,0.98
1.0,-0.96,0.94,1.0,1.0,-0.98,0.94,-0.94,-0.94,0.98
1.0,-1.0,0.94,0.98,1.0,-0.96,0.86,-0.96,-0.88,1.0
0.98,-1.0,0.94,0.98,1.0,-0.98,0.88,-0.96,-0.96,0.96
0.96,-1.0,0.96,0.96,0.98,-1.0,0.88,-0.94,-0.98,0.94
0.98,-0.96,0.94,0.98,0.98,-1.0,0.86,-0.9,-1.0,0.96
0.98,-0.98,0.9,1.0,0.96,-0.98,0.78,-0.92,-1.0,0.98
1.0,-0.94,0.94,0.98,0.98,-0.94,0.92,-0.96,-1.0,0.96
1.0,-0.94,0.96,0.96,0.98,-0.92,0.88,-0.98,-0.96,0.98
1.0,-0.94,1.0,0.96,0.98,-0.94,0.88,-1.0,-1.0,0.98
1.0,-0.98,0.98,0.98,0.98,-0.94,0.92,-1.0,-1.0,1.0
0.98,-0.92,1.0,0.98,1.0,-0.9,1.0,-1.0,-1.0,1.0
0.98,-0.96,1.0,0.92,1.0,-0.92,1.0,-1.0,-1.0,1.0
0.9,-0.96,0.96,0.94,1.0,-0.94,0.98,-1.0,-1.0,0.98
0.84,-1.0,0.96,0.98,0.98,-0.98,0.98,-0.98,-1.0,0.98
0.8,-0.98,0.98,1.0,1.0,-1.0,0.98,-1.0,-1.0,1.0
0.82,-0.98,0.96,1.0,1.0,-0.96,1.0,-1.0,-0.98,1.0
0.86,-0.96,0.96,1.0,1.0,-0.96,1.0,-1.0,-0.98,1.0
0.94,-0.98,0.98,0.98,1.0,-0.96,1.0,-0.98,-0.94,1.0
0.94,-0.98,1.0,0.96,1.0,-1.0,0.98,-1.0,-0.94,0.98
0.96,-0.96,1.0,0.98,1.0,-1.0,0.92,-0.98,-0.98,1.0
1.0,-0.94,1.0,1.0,0.96,-1.0,0.96,-1.0,-0.98,1.0
0.94,-0.94,1.0,0.94,0.94,-0.98,1.0,-0.98,-0.98,1.0
0.98,-0.96,1.0,0.98,0.98,-1.0,0.98,-1.0,-0.98,1.0
0.98,-0.96,1.0,0.98,0.98,-0.98,1.0,-1.0,-0.98,1.0
0.94,-0.94,0.98,0.96,0.98,-0.96,1.0,-1.0,-1.0,1.0
0.94,-0.9,0.94,0.96,1.0,-0.98,1.0,-1.0,-1.0,1.0
0.94,-0.94,0.9,0.96,0.9,-1.0,0.96,-1.0,-0.98,0.94
0.96,-0.98,0.94,0.92,0.96,-0.98,0.98,-1.0,-1.0,0.94
0.92,-0.98,0.96,0.98,0.94,-0.96,1.0,-0.96,-0.96,0.92
0.96,-0.98,1.0,1.0,0.92,-0.98,1.0,-1.0,-0.96,1.0
0.96,-0.98,1.0,0.94,0.88,-1.0,0.96,-0.98,-0.98,1.0
0.94,-0.96,1.0,0.98,0.86,-0.98,0.92,-1.0,-0.96,0.98
0.96,-1.0,1.0,0.98,0.94,-1.0,0.9,-1.0,-0.98,0.96
0.96,-1.0,0.94,0.96,0.88,-1.0,0.98,-0.98,-0.94,1.0
0.98,-1.0,0.96,0.9,0.84,-0.96,0.98,-0.96,-0.94,1.0
1.0,-0.98,0.92,0.94,0.92,-0.96,1.0,-0.98,-0.96,0.98
1.0,-1.0,0.92,0.92,0.92,-0.98,1.0,-0.94,-1.0,1.0
1.0,-0.98,0.9,0.9,0.96,-0.94,0.98,-0.96,-1.0,1.0
1.0,-1.0,0.96,0.98,0.94,-0.94,1.0,-0.98,-0.96,0.98
0.98,-1.0,1.0,0.98,1.0,-0.98,0.98,-0.98,-0.98,0.96
0.98,-0.92,0.98,0.96,0.94,-0.92,0.98,-1.0,-0.94,0.96
0.98,-0.96,0.98,0.98,0.98,-0.98,0.98,-1.0,-0.9,0.9
